Date,Year,Month,Year-Month,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Total,Industrial,LDZ,Gas-to-Power
2016-10-31,2016,10,2016-10,121.2,47.83,169.2,113.29,100.55,-8.58,242.37,915.48,278.39,450.35,186.74
2016-11-30,2016,11,2016-11,176.11,60.55,232.48,152.86,102.77,-10.0,326.36,1261.93,318.03,743.27,200.64
2016-12-31,2016,12,2016-12,207.07,65.56,284.34,160.67,108.36,-12.7,354.44,1389.84,311.75,872.78,205.31
2017-01-31,2017,1,2017-01,239.4,75.73,335.06,181.47,127.64,-10.37,432.94,1640.8,347.0,1075.7,218.11
2017-02-28,2017,2,2017-02,181.16,61.76,269.4,172.82,113.41,-11.09,350.73,1337.1,313.49,843.98,179.62
2017-03-31,2017,3,2017-03,142.17,49.22,195.51,126.84,109.39,-7.73,271.41,1046.17,285.33,606.09,154.75
2017-04-30,2017,4,2017-04,108.14,45.85,149.58,97.33,112.79,-12.21,247.35,883.01,263.1,472.24,147.68
2017-05-31,2017,5,2017-05,75.56,33.49,135.33,80.08,108.18,-11.41,174.68,671.96,242.67,296.56,132.73
2017-06-30,2017,6,2017-06,56.48,27.77,135.49,67.95,97.66,-12.95,135.0,564.37,229.8,198.02,136.56
2017-07-31,2017,7,2017-07,56.83,26.6,138.05,65.91,91.51,-11.95,138.0,566.23,231.95,185.43,148.84
2017-08-31,2017,8,2017-08,51.44,26.13,119.87,72.22,73.69,-11.33,132.17,531.97,218.76,182.26,130.95
2017-09-30,2017,9,2017-09,76.84,32.31,134.06,89.72,90.51,-10.53,176.05,677.57,260.17,280.57,136.83
2017-10-31,2017,10,2017-10,106.28,41.05,157.17,101.81,117.64,-13.01,203.44,814.66,275.7,375.31,163.66
2017-11-30,2017,11,2017-11,178.61,59.07,246.9,120.35,118.39,-10.71,311.6,1236.8,321.21,717.29,198.3
2017-12-31,2017,12,2017-12,202.4,65.88,292.3,145.37,85.46,-9.96,349.63,1407.11,322.31,908.94,175.86
2018-01-31,2018,1,2018-01,174.32,61.64,266.12,143.67,109.1,-8.09,334.76,1337.7,309.3,855.11,173.29
2018-02-28,2018,2,2018-02,227.73,74.96,298.77,155.17,112.95,-3.31,420.77,1576.75,332.64,1045.19,198.92
2018-03-31,2018,3,2018-03,173.27,61.45,248.24,128.87,104.19,-5.19,351.29,1317.04,299.64,853.46,163.94
2018-04-30,2018,4,2018-04,91.21,37.26,145.76,70.67,112.63,-7.23,189.41,786.25,240.84,417.17,128.23
2018-05-31,2018,5,2018-05,64.58,31.41,121.3,62.77,103.02,-4.15,145.87,596.36,225.91,252.1,118.35
2018-06-30,2018,6,2018-06,55.12,30.11,121.7,56.17,83.51,-10.64,136.8,557.58,229.27,197.42,130.89
2018-07-31,2018,7,2018-07,58.24,28.33,133.7,60.92,94.93,-9.78,129.64,556.41,224.91,169.88,161.63
2018-08-31,2018,8,2018-08,53.59,28.9,118.47,55.87,85.64,-7.21,133.2,541.99,219.64,171.71,150.64
2018-09-30,2018,9,2018-09,65.69,32.25,142.77,54.27,89.91,-10.61,155.36,629.28,237.2,246.38,145.7
2018-10-31,2018,10,2018-10,103.13,46.7,150.8,77.26,96.99,-11.89,214.95,834.74,259.91,402.0,172.83
2018-11-30,2018,11,2018-11,168.45,63.91,214.83,111.53,102.03,-13.63,310.59,1178.98,295.92,691.24,191.82
2018-12-31,2018,12,2018-12,175.44,63.39,269.38,118.76,95.15,-12.19,330.94,1297.09,294.07,825.42,177.61
2019-01-31,2019,1,2019-01,216.47,75.86,318.52,133.04,108.62,-13.4,395.93,1545.67,325.31,992.02,228.34
2019-02-28,2019,2,2019-02,181.05,63.15,268.98,112.55,105.07,-12.72,340.92,1313.96,310.07,816.44,187.46
2019-03-31,2019,3,2019-03,142.72,52.84,210.99,107.91,103.37,-13.32,282.33,1092.53,287.6,648.77,156.16
2019-04-30,2019,4,2019-04,111.56,43.27,171.93,67.66,102.29,-13.8,227.1,889.78,254.55,474.93,160.31
2019-05-31,2019,5,2019-05,88.65,38.83,147.34,61.58,100.49,-12.87,204.93,768.26,256.44,365.81,146.01
2019-06-30,2019,6,2019-06,61.95,32.31,134.04,47.48,86.47,-13.87,135.71,599.68,227.13,212.78,159.77
2019-07-31,2019,7,2019-07,62.21,30.18,149.27,42.54,89.85,-13.79,142.17,605.03,230.55,181.68,192.81
2019-08-31,2019,8,2019-08,52.97,29.2,126.29,44.79,83.98,-9.39,136.4,550.5,212.61,173.55,164.34
2019-09-30,2019,9,2019-09,68.08,36.14,146.94,50.23,93.64,-12.94,171.01,666.67,242.5,248.06,176.11
2019-10-31,2019,10,2019-10,98.45,47.54,156.87,65.87,100.25,-11.97,223.12,873.27,259.43,417.32,196.52
2019-11-30,2019,11,2019-11,171.76,64.17,208.09,108.84,114.25,-6.1,318.24,1219.32,299.05,725.96,194.31
2019-12-31,2019,12,2019-12,175.37,63.61,241.95,111.0,110.04,-11.62,333.98,1273.55,289.78,824.33,159.43
2020-01-31,2020,1,2020-01,191.14,67.71,292.02,104.42,108.68,-12.85,355.8,1383.94,314.99,876.26,192.69
2020-02-29,2020,2,2020-02,163.87,63.35,244.15,103.07,105.13,-13.86,321.8,1252.5,304.96,790.16,157.39
2020-03-31,2020,3,2020-03,145.05,57.03,201.79,73.11,99.79,-13.54,305.56,1129.51,278.54,702.67,148.31
2020-04-30,2020,4,2020-04,74.31,36.48,131.36,67.25,105.92,-13.85,207.64,723.67,224.9,386.76,112.01
2020-05-31,2020,5,2020-05,66.82,35.06,112.83,61.29,106.14,-13.35,182.7,634.41,231.56,286.87,115.98
2020-06-30,2020,6,2020-06,66.42,34.88,127.42,51.12,97.45,-13.55,152.62,602.36,225.69,215.43,161.24
2020-07-31,2020,7,2020-07,61.55,37.19,143.83,42.17,97.92,-13.73,149.03,622.48,233.93,199.66,188.89
2020-08-31,2020,8,2020-08,54.6,33.08,127.49,39.52,81.56,-13.88,139.48,581.31,221.42,176.33,183.56
2020-09-30,2020,9,2020-09,70.17,35.74,150.04,40.36,78.09,-12.29,167.89,680.51,243.72,251.68,185.11
2020-10-31,2020,10,2020-10,113.94,45.79,162.39,62.05,100.33,-8.3,234.23,902.02,273.8,472.49,155.73
2020-11-30,2020,11,2020-11,151.17,56.11,217.68,66.45,92.97,-11.18,304.9,1131.84,290.88,654.51,186.45
2020-12-31,2020,12,2020-12,181.12,65.99,267.42,79.36,98.49,-4.74,360.59,1355.52,292.34,867.69,195.49
2021-01-31,2021,1,2021-01,207.35,74.67,297.56,91.08,92.25,-0.62,409.89,1532.61,316.93,1010.37,205.31
2021-02-28,2021,2,2021-02,177.66,68.36,256.59,82.33,85.66,-3.13,388.36,1390.68,320.27,891.6,178.8
2021-03-31,2021,3,2021-03,157.84,59.39,229.42,74.68,93.49,-3.31,335.24,1217.44,296.09,741.44,179.91
2021-04-30,2021,4,2021-04,126.49,54.27,189.38,77.0,71.84,-6.42,291.63,1052.35,267.32,599.99,185.03
2021-05-31,2021,5,2021-05,87.74,38.68,128.92,51.07,69.7,-1.95,209.34,772.26,246.44,396.64,129.18
2021-06-30,2021,6,2021-06,58.22,29.86,132.29,43.46,46.64,-3.1,142.52,575.08,219.72,204.73,150.64
2021-07-31,2021,7,2021-07,53.99,27.28,141.52,46.81,65.49,-5.06,140.17,568.58,214.11,196.75,157.72
2021-08-31,2021,8,2021-08,45.99,27.31,117.67,45.92,84.65,-4.6,139.91,522.23,195.97,198.6,127.66
2021-09-30,2021,9,2021-09,60.64,28.89,150.68,39.15,89.11,-5.46,166.07,626.74,216.98,245.99,163.77
2021-10-31,2021,10,2021-10,99.6,39.15,167.53,40.0,101.23,-3.17,221.71,805.73,234.07,427.07,144.59
2021-11-30,2021,11,2021-11,175.39,60.22,239.57,64.62,106.01,-1.36,323.08,1207.27,281.51,717.93,207.83
2021-12-31,2021,12,2021-12,186.47,61.57,290.11,76.98,105.91,-2.14,356.96,1339.21,278.38,862.93,197.9
2022-01-31,2022,1,2022-01,203.72,67.22,294.84,65.64,104.8,-9.68,362.79,1406.08,281.97,918.72,205.38
2022-02-28,2022,2,2022-02,170.42,56.21,260.77,57.93,103.25,-11.45,329.66,1223.53,266.22,804.35,152.96
2022-03-31,2022,3,2022-03,141.77,46.12,238.06,49.3,99.97,-11.85,302.4,1095.78,251.06,659.59,185.13
2022-04-30,2022,4,2022-04,110.75,38.58,162.76,50.96,102.82,-12.95,240.61,862.0,224.41,481.21,156.38
2022-05-31,2022,5,2022-05,67.67,29.54,125.45,41.08,106.37,-12.61,152.43,608.67,209.52,252.6,146.55
