Date,Year,Month,Year-Month,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Total,Industrial,LDZ,Gas-to-Power,France_YOY_Abs,France_YOY_Pct,Belgium_YOY_Abs,Belgium_YOY_Pct,Italy_YOY_Abs,Italy_YOY_Pct,Netherlands_YOY_Abs,Netherlands_YOY_Pct,GB_YOY_Abs,GB_YOY_Pct,Austria_YOY_Abs,Austria_YOY_Pct,Germany_YOY_Abs,Germany_YOY_Pct,Total_YOY_Abs,Total_YOY_Pct,Industrial_YOY_Abs,Industrial_YOY_Pct,LDZ_YOY_Abs,LDZ_YOY_Pct,Gas-to-Power_YOY_Abs,Gas-to-Power_YOY_Pct
2017-10-31,2017,10,2017-10,106.28,41.05,157.17,101.81,117.64,-13.01,203.44,814.66,275.7,375.31,163.66,-14.92,-12.31,-6.78,-14.18,-12.03,-7.11,-11.48,-10.13,17.09,17.0,-4.43,51.63,-38.93,-16.06,-100.82,-11.01,-2.69,-0.97,-75.04,-16.66,-23.08,-12.36
2017-11-30,2017,11,2017-11,178.61,59.07,246.9,120.35,118.39,-10.71,311.6,1236.8,321.21,717.29,198.3,2.5,1.42,-1.48,-2.44,14.42,6.2,-32.51,-21.27,15.62,15.2,-0.71,7.1,-14.76,-4.52,-25.13,-1.99,3.18,1.0,-25.98,-3.5,-2.34,-1.17
2017-12-31,2017,12,2017-12,202.4,65.88,292.3,145.37,85.46,-9.96,349.63,1407.11,322.31,908.94,175.86,-4.67,-2.26,0.32,0.49,7.96,2.8,-15.3,-9.52,-22.9,-21.13,2.74,-21.57,-4.81,-1.36,17.27,1.24,10.56,3.39,36.16,4.14,-29.45,-14.34
2018-01-31,2018,1,2018-01,174.32,61.64,266.12,143.67,109.1,-8.09,334.76,1337.7,309.3,855.11,173.29,-65.08,-27.18,-14.09,-18.61,-68.94,-20.58,-37.8,-20.83,-18.54,-14.53,2.28,-21.99,-98.18,-22.68,-303.1,-18.47,-37.7,-10.86,-220.59,-20.51,-44.82,-20.55
2018-02-28,2018,2,2018-02,227.73,74.96,298.77,155.17,112.95,-3.31,420.77,1576.75,332.64,1045.19,198.92,46.57,25.71,13.2,21.37,29.37,10.9,-17.65,-10.21,-0.46,-0.41,7.78,-70.15,70.04,19.97,239.65,17.92,19.15,6.11,201.21,23.84,19.3,10.74
2018-03-31,2018,3,2018-03,173.27,61.45,248.24,128.87,104.19,-5.19,351.29,1317.04,299.64,853.46,163.94,31.1,21.88,12.23,24.85,52.73,26.97,2.03,1.6,-5.2,-4.75,2.54,-32.86,79.88,29.43,270.87,25.89,14.31,5.02,247.37,40.81,9.19,5.94
2018-04-30,2018,4,2018-04,91.21,37.26,145.76,70.67,112.63,-7.23,189.41,786.25,240.84,417.17,128.23,-16.93,-15.66,-8.59,-18.74,-3.82,-2.55,-26.66,-27.39,-0.16,-0.14,4.98,-40.79,-57.94,-23.42,-96.76,-10.96,-22.26,-8.46,-55.07,-11.66,-19.45,-13.17
2018-05-31,2018,5,2018-05,64.58,31.41,121.3,62.77,103.02,-4.15,145.87,596.36,225.91,252.1,118.35,-10.98,-14.53,-2.08,-6.21,-14.03,-10.37,-17.31,-21.62,-5.16,-4.77,7.26,-63.63,-28.81,-16.49,-75.6,-11.25,-16.76,-6.91,-44.46,-14.99,-14.38,-10.83
2018-06-30,2018,6,2018-06,55.12,30.11,121.7,56.17,83.51,-10.64,136.8,557.58,229.27,197.42,130.89,-1.36,-2.41,2.34,8.43,-13.79,-10.18,-11.78,-17.34,-14.15,-14.49,2.31,-17.84,1.8,1.33,-6.79,-1.2,-0.53,-0.23,-0.6,-0.3,-5.67,-4.15
2018-07-31,2018,7,2018-07,58.24,28.33,133.7,60.92,94.93,-9.78,129.64,556.41,224.91,169.88,161.63,1.41,2.48,1.73,6.5,-4.35,-3.15,-4.99,-7.57,3.42,3.74,2.17,-18.16,-8.36,-6.06,-9.82,-1.73,-7.04,-3.04,-15.55,-8.39,12.79,8.59
