Date,Year,Month,Year-Month,Slovakia,Russia (Nord Stream),Norway,Netherlands,GB,LNG,Algeria,Libya,Spain,Denmark,Czech and Poland,Austria,Slovenia,MAB,TAP,Austria.1,Italy,Germany,Total,Other border point net flows,North Africa,Other production
2016-10-31,2016,10,2016-10,118.44,121.43,303.75,113.29,100.55,53.51,49.33,12.34,-10.05,1.11,54.11,2.41,-6.41,-11.26,0.0,2.41,16.06,14.39,924.4,258.79,61.67,32.86
2016-11-30,2016,11,2016-11,107.55,120.41,320.59,152.86,102.77,51.19,58.71,15.0,-9.76,-0.88,75.3,2.7,-7.11,-7.46,0.0,2.7,15.99,14.53,1002.39,268.06,73.71,33.22
2016-12-31,2016,12,2016-12,91.33,124.79,319.98,160.67,108.36,39.03,69.36,12.4,-12.07,0.1,78.61,2.7,-7.76,-5.55,0.0,2.7,15.92,14.73,999.91,256.76,81.76,33.35
2017-01-31,2017,1,2017-01,123.37,158.43,346.34,181.47,127.64,36.26,65.41,14.81,-13.35,-1.13,45.35,2.8,-8.89,-4.52,0.0,2.8,14.91,15.95,1094.48,288.88,80.22,33.66
2017-02-28,2017,2,2017-02,99.93,125.51,333.48,172.82,113.41,47.43,69.0,12.1,-9.24,2.75,53.67,2.55,-7.77,-6.8,0.0,2.55,15.6,14.99,1028.34,246.96,81.1,33.15
2017-03-31,2017,3,2017-03,75.32,125.28,330.14,126.84,109.39,82.45,68.85,11.14,-4.05,1.25,53.96,2.5,-6.07,-8.97,0.0,2.5,15.25,14.25,989.82,229.0,79.99,32.0
2017-04-30,2017,4,2017-04,123.75,120.6,323.88,97.33,112.79,98.64,49.33,9.81,-9.66,0.94,53.97,3.01,-5.36,-5.42,0.0,3.01,13.85,13.7,988.95,266.62,59.13,30.56
2017-05-31,2017,5,2017-05,122.05,120.36,279.03,80.08,108.18,98.42,40.03,13.44,-11.42,0.93,45.18,3.09,-4.88,-7.65,0.0,3.09,11.32,13.24,900.0,253.17,53.47,27.65
2017-06-30,2017,6,2017-06,117.32,121.4,267.14,67.95,97.66,71.54,29.11,12.7,-12.46,0.3,32.59,2.94,-5.18,-5.24,0.0,2.94,11.13,13.16,809.11,235.78,41.8,27.23
2017-07-31,2017,7,2017-07,117.85,121.03,313.32,65.91,91.51,86.37,36.18,12.1,-13.0,-0.06,32.41,2.87,-5.49,-4.54,0.0,2.87,12.12,13.59,870.22,236.25,48.28,28.58
