Date,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Ireland,Total,Industrial,LDZ,Gas_to_Power,Slovakia_Austria,Russia_NordStream_Germany,Norway_Europe,Algeria_Italy,Libya_Italy,Spain_France,Denmark_Germany,Czech_Poland_Germany,LNG_Belgium,LNG_France,LNG_Germany,LNG_Netherlands,LNG_GB,LNG_Italy,Austria_Production,Germany_Production,GB_Production,Netherlands_Production,Italy_Production,Austria_Hungary_Export,Total_LNG_Imports,Total_Pipeline_Imports,Total_Domestic_Production,Total_Supply
2016-10-03,90.13,38.16,148.39,72.87,160.09,17.24,174.25,7.09,1.55,5.43,715.22,236.42,307.8,166.71,111.66,121.14,245.11,34.03,12.13,-8.5,1.02,52.3,6.87,21.35,0.0,0.39,5.07,17.47,2.27,14.99,85.65,86.05,15.93,-9.69,51.16,620.04,204.89,876.09
2016-10-04,92.57,41.06,151.47,76.89,163.86,20.65,205.04,7.06,1.31,7.78,767.69,264.21,325.29,174.14,119.86,121.18,260.65,35.78,12.12,-8.84,1.24,50.35,9.81,20.69,0.0,0.39,5.06,17.98,2.27,14.33,97.74,90.49,16.05,-9.31,53.93,646.25,220.88,921.07
2016-10-05,98.36,43.53,153.79,81.97,162.35,25.62,228.34,7.45,2.09,5.22,808.72,271.74,360.68,172.52,118.58,121.19,253.32,36.22,10.95,-9.23,1.17,44.53,2.96,29.15,0.0,1.74,5.09,16.99,2.32,13.85,99.59,110.57,16.19,-11.0,55.92,632.65,242.52,931.08
2016-10-06,110.85,46.91,159.52,91.75,184.59,23.38,243.47,9.23,2.17,6.56,878.44,277.76,397.06,199.39,121.24,121.52,313.22,37.13,11.44,-10.22,1.32,43.09,2.0,25.32,0.0,0.67,5.09,19.96,2.34,13.92,93.54,102.75,16.14,-10.8,53.04,691.8,228.68,973.53
2016-10-07,113.54,45.54,156.44,90.67,187.69,22.43,240.54,8.92,2.2,9.32,877.29,271.81,399.57,200.11,122.97,121.4,299.87,39.19,10.45,-11.15,2.81,40.92,2.02,22.43,0.0,0.39,5.05,12.98,2.33,14.08,99.95,106.98,16.22,-9.09,42.86,669.32,239.56,951.74
2016-10-08,100.5,41.94,130.59,80.96,175.41,19.71,223.65,8.09,1.8,7.59,790.24,244.32,370.37,170.0,116.24,121.16,302.78,36.97,9.95,-9.06,1.68,42.03,4.21,20.99,0.0,0.39,5.08,8.99,2.31,14.62,99.28,109.24,15.92,-7.41,39.65,661.39,241.37,942.41
2016-10-09,103.01,41.42,124.81,86.27,183.83,19.75,235.6,9.07,1.24,7.43,812.42,245.59,397.95,163.92,117.1,121.36,300.24,34.38,10.96,-8.32,2.35,46.16,2.93,20.16,0.0,0.4,5.08,6.0,2.32,14.46,99.5,112.9,16.08,-7.12,34.56,658.79,245.25,938.6
2016-10-10,132.67,50.31,179.93,103.76,215.37,27.12,274.36,10.99,2.04,9.58,1006.12,288.26,491.74,220.46,120.6,121.5,321.95,46.66,11.77,-9.69,3.6,47.02,2.0,36.24,0.0,0.48,5.08,14.48,2.36,14.6,102.95,124.14,16.02,-6.87,58.28,721.69,260.07,1040.05
2016-10-11,141.26,51.34,192.89,107.0,219.97,27.83,279.54,11.25,2.2,8.06,1041.34,294.56,523.69,217.53,119.8,120.68,310.49,55.29,10.47,-10.31,3.0,56.58,1.82,36.28,0.0,1.05,5.1,15.5,2.36,14.24,104.02,100.91,16.09,-7.98,59.75,725.77,237.63,1023.14
2016-10-12,145.8,54.48,199.05,105.42,212.22,27.67,280.67,10.83,2.2,8.46,1046.79,297.06,532.45,211.65,121.01,121.3,311.77,60.54,10.69,-8.82,5.78,53.39,1.98,38.8,0.0,0.85,5.07,16.51,2.18,14.77,104.47,124.44,16.09,-7.65,63.2,738.86,261.95,1064.02
2016-10-13,147.18,51.07,212.94,102.1,217.97,25.7,270.9,10.75,2.36,8.92,1049.89,291.93,545.33,208.19,120.73,121.11,320.55,60.84,12.16,-9.78,1.93,56.73,7.79,40.31,0.0,0.8,5.09,12.9,2.42,14.09,98.56,129.26,16.21,-8.05,66.9,751.18,260.53,1078.62
2016-10-14,137.06,51.08,203.25,97.39,212.15,23.63,253.39,9.38,2.46,8.7,998.48,281.59,515.96,195.73,119.86,121.06,315.16,59.0,12.15,-9.48,0.26,54.29,2.07,40.02,0.0,0.81,5.09,8.0,2.38,14.01,94.78,121.95,16.28,-7.28,56.0,728.29,249.4,1033.69
2016-10-15,114.01,43.5,154.59,86.64,185.76,18.93,219.16,8.27,2.24,6.23,839.34,249.71,431.76,153.3,120.17,120.31,312.59,48.09,12.16,-8.62,-0.73,55.28,9.72,39.8,0.0,0.83,5.56,6.0,2.3,14.34,102.06,116.02,16.16,-8.2,61.91,721.16,250.88,1033.95
