Date,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Total,Industrial,LDZ,Gas_to_Power
2016-10-03,90.13,38.16,148.39,72.87,160.09,17.24,174.25,7.09,1.55,5.43,715.22,302.92,495.03,164.7
2016-10-04,92.57,41.06,151.47,76.89,163.86,20.65,205.04,7.06,1.31,7.78,767.69,310.17,507.25,220.34
2016-10-05,98.36,43.53,153.79,81.97,162.35,25.62,228.34,7.45,2.09,5.22,808.72,348.58,479.05,222.73
2016-10-06,110.85,46.91,159.52,91.75,184.59,23.38,243.47,9.23,2.17,6.56,878.44,338.78,465.25,214.98
2016-10-07,113.54,45.54,156.44,90.67,187.69,22.43,240.54,8.92,2.2,9.32,877.29,320.29,449.65,191.96
2016-10-08,100.5,41.94,130.59,80.96,175.41,19.71,223.65,8.09,1.8,7.59,790.24,310.53,429.21,195.57
2016-10-09,103.01,41.42,124.81,86.27,183.83,19.75,235.6,9.07,1.24,7.43,812.42,308.66,399.48,168.93
2016-10-10,132.67,50.31,179.93,103.76,215.37,27.12,274.36,10.99,2.04,9.58,1006.12,279.89,404.51,144.82
2016-10-11,141.26,51.34,192.89,107.0,219.97,27.83,279.54,11.25,2.2,8.06,1041.34,265.94,434.35,185.76
2016-10-12,145.8,54.48,199.05,105.42,212.22,27.67,280.67,10.83,2.2,8.46,1046.79,304.72,473.03,165.95
2016-10-13,147.18,51.07,212.94,102.1,217.97,25.7,270.9,10.75,2.36,8.92,1049.89,314.48,548.0,205.28
2016-10-14,137.06,51.08,203.25,97.39,212.15,23.63,253.39,9.38,2.46,8.7,998.48,315.08,596.95,222.69
2016-10-15,114.01,43.5,154.59,86.64,185.76,18.93,219.16,8.27,2.24,6.23,839.34,320.28,596.7,207.6
2016-10-16,104.8,38.53,134.05,76.3,171.41,17.32,211.34,8.26,1.45,5.42,768.88,324.05,577.59,149.63
2016-10-17,120.16,46.76,192.09,90.69,190.02,21.65,238.11,8.74,2.16,7.26,917.64,295.68,618.78,138.73
2016-10-18,129.6,50.82,191.21,104.3,207.5,24.94,237.54,8.47,2.14,7.94,964.45,294.75,724.22,217.82
2016-10-19,140.7,55.23,192.2,109.34,220.89,22.89,258.99,10.03,2.39,9.54,1022.2,357.49,778.93,228.43
2016-10-20,144.21,54.9,196.37,115.07,222.16,24.26,273.82,10.34,2.45,9.71,1053.3,363.54,787.34,225.54
2016-10-21,144.13,55.64,193.84,110.43,222.28,25.26,282.37,11.0,2.61,9.51,1057.08,354.06,755.8,222.46
2016-10-22,133.21,51.87,166.63,100.89,214.07,22.59,262.67,9.99,2.05,5.67,969.64,339.15,755.54,214.16
2016-10-23,127.27,55.7,159.98,102.72,207.97,22.43,265.46,10.0,2.12,4.92,958.55,342.3,726.24,189.49
2016-10-24,130.85,58.84,201.49,120.66,238.76,23.33,277.79,9.32,2.44,9.41,1072.88,320.48,714.71,178.2
2016-10-25,130.06,56.42,199.53,119.2,231.75,23.35,277.26,8.46,2.29,10.57,1058.87,321.1,764.7,221.11
2016-10-26,135.64,55.3,195.19,110.86,214.74,20.95,276.33,8.3,2.5,8.42,1028.22,366.65,686.94,217.36
2016-10-27,138.18,52.35,182.77,99.27,208.92,24.64,258.7,9.67,2.57,7.51,984.58,365.43,636.83,211.52
2016-10-28,139.12,50.32,181.3,95.1,206.9,27.69,245.03,10.6,2.5,9.67,968.24,348.48,650.79,205.77
2016-10-29,126.81,45.64,155.27,82.74,196.09,25.56,230.52,11.48,1.85,6.37,882.31,331.36,678.36,209.66
2016-10-30,117.61,43.79,139.96,91.35,194.97,22.5,229.68,9.56,1.9,9.33,860.66,322.18,655.63,171.13
2016-10-31,130.89,45.18,175.28,100.41,208.59,24.51,249.89,11.2,2.05,8.49,956.49,285.42,621.48,156.96
2016-11-01,132.02,45.23,159.24,105.34,235.96,25.87,246.64,10.98,0.62,8.72,970.63,281.74,621.89,196.22
2016-11-02,158.73,52.82,205.98,108.42,265.39,32.66,279.07,11.01,2.11,11.25,1127.43,337.41,598.75,213.19
2016-11-03,176.03,57.4,215.6,117.23,273.42,30.68,306.4,11.67,2.44,10.57,1201.44,345.34,603.78,216.97
2016-11-04,173.28,58.7,214.74,114.0,255.45,31.17,304.9,11.57,2.2,9.78,1175.79,336.35,633.2,211.97
2016-11-05,151.68,49.33,183.36,104.87,241.34,25.9,275.3,9.77,2.34,5.95,1049.85,339.49,676.72,211.01
2016-11-06,165.08,54.39,159.71,107.11,261.12,26.09,290.17,11.86,1.71,5.87,1083.11,344.4,668.23,177.59
2016-11-07,206.75,66.62,222.22,134.85,301.47,33.36,350.2,14.24,1.87,14.11,1345.7,306.49,669.13,152.73
2016-11-08,207.87,69.31,239.86,147.83,318.05,36.89,375.44,16.16,1.7,11.03,1424.14,307.25,829.52,218.44
2016-11-09,201.2,68.93,253.64,146.63,307.18,35.63,381.86,14.36,2.4,12.5,1424.33,341.02,946.11,236.04
2016-11-10,182.38,64.07,255.17,141.88,297.64,34.52,382.6,13.0,2.31,11.98,1385.54,346.78,950.28,225.46
2016-11-11,175.19,64.59,254.8,142.35,285.51,33.21,380.43,13.43,2.86,8.02,1360.4,336.73,887.13,235.26
2016-11-12,176.65,64.55,224.7,134.79,256.33,31.95,361.58,13.24,1.93,9.68,1275.4,322.4,828.32,241.98
2016-11-13,165.65,62.57,218.0,134.48,252.65,32.45,370.86,13.15,1.7,7.61,1259.13,286.53,811.34,201.48
2016-11-14,193.64,67.54,275.7,146.79,248.7,36.84,402.33,14.6,2.43,8.66,1397.21,228.52,855.8,183.65
2016-11-15,182.04,60.83,286.08,120.22,226.29,39.57,370.63,13.16,2.69,9.06,1310.56,213.72,938.8,258.51
2016-11-16,172.04,56.91,285.25,106.6,232.17,38.89,318.01,11.19,1.45,8.98,1231.48,229.73,909.65,253.12
2016-11-17,165.75,56.02,281.11,109.69,271.97,33.43,286.34,10.29,1.63,11.19,1227.42,275.04,832.53,230.62
2016-11-18,174.34,62.13,262.96,119.16,305.04,31.96,276.21,10.52,1.95,11.6,1255.87,288.1,772.75,211.65
2016-11-19,161.86,57.03,215.95,112.96,290.73,24.48,271.25,11.57,2.22,11.65,1159.71,292.74,736.09,207.24
2016-11-20,136.77,49.78,196.71,104.87,293.08,24.07,264.23,11.39,2.29,11.71,1094.9,292.67,696.73,183.1
2016-11-21,153.03,51.34,242.31,104.5,296.61,28.93,275.54,11.77,1.5,12.97,1178.5,269.25,691.47,178.74
2016-11-22,167.9,55.06,234.05,108.29,290.91,25.68,272.19,10.94,1.59,14.08,1180.69,268.62,779.98,253.02
2016-11-23,162.47,55.15,227.46,115.78,299.5,27.05,277.95,11.94,2.29,16.62,1196.23,321.06,776.32,250.59
2016-11-24,164.06,58.32,224.78,125.59,300.3,27.26,294.26,11.81,1.85,13.9,1222.13,326.34,761.73,256.8
2016-11-25,171.87,62.73,217.23,139.14,303.15,27.64,318.64,12.33,1.8,13.19,1267.71,334.14,790.76,250.95
2016-11-26,156.18,58.33,183.01,137.45,298.0,26.33,309.21,11.43,1.69,11.77,1193.4,361.34,803.51,245.64
2016-11-27,159.97,55.43,184.05,120.89,280.92,27.41,316.05,12.01,1.66,10.49,1168.88,355.82,784.86,205.15
2016-11-28,214.28,71.72,254.3,155.29,310.36,33.8,398.69,13.82,1.89,15.08,1469.22,330.3,785.32,199.35
2016-11-29,236.16,79.78,289.67,167.39,349.66,37.96,423.21,16.77,2.08,15.17,1617.86,320.54,867.81,254.67
2016-11-30,238.33,79.84,306.76,148.31,345.47,38.92,410.7,17.05,1.89,16.07,1603.34,354.99,896.95,237.85
2016-12-01,239.45,74.14,310.72,127.08,332.09,38.31,378.48,16.68,1.55,15.88,1534.38,353.19,857.58,218.18
2016-12-02,224.22,67.64,293.49,131.41,322.75,35.13,375.33,16.73,1.69,14.78,1483.17,337.12,829.53,215.5
2016-12-03,205.93,66.27,258.88,140.98,294.48,32.43,368.45,15.13,1.37,10.85,1394.77,340.04,794.81,176.43
2016-12-04,209.64,70.88,231.13,153.08,307.04,33.75,388.58,15.97,1.58,8.01,1419.65,337.7,710.7,125.94
2016-12-05,223.8,78.27,291.28,169.11,358.64,39.91,443.85,16.56,1.88,13.56,1636.85,306.94,607.09,89.1
2016-12-06,221.46,75.29,302.03,159.76,323.22,41.19,446.02,16.91,3.84,7.94,1597.65,322.95,666.94,120.75
2016-12-07,222.06,70.28,302.97,136.82,258.12,43.58,422.4,17.07,3.9,6.24,1483.44,378.71,763.11,171.75
2016-12-08,217.25,67.69,267.48,125.38,256.52,41.27,380.95,17.59,3.63,8.49,1386.25,386.05,837.07,183.12
2016-12-09,210.6,63.88,296.28,114.93,230.26,36.14,349.25,17.63,3.6,5.28,1327.85,386.8,907.17,186.85
2016-12-10,199.74,58.97,272.26,109.55,226.33,32.38,300.57,16.32,3.32,7.48,1226.94,384.49,925.55,180.11
2016-12-11,188.78,57.96,251.55,105.76,258.99,31.64,289.32,17.05,2.63,7.78,1211.46,371.47,891.86,157.62
2016-12-12,213.11,67.32,318.35,133.75,304.46,32.57,333.19,17.33,3.19,12.33,1435.61,333.45,872.15,140.86
2016-12-13,211.21,68.54,329.17,135.55,278.04,37.46,352.4,16.66,3.26,8.07,1440.37,333.28,949.17,194.46
2016-12-14,212.13,65.96,334.01,127.71,268.09,39.05,347.98,17.21,2.96,12.19,1427.28,387.22,960.8,210.36
2016-12-15,210.72,68.25,335.15,136.1,278.69,38.17,355.67,17.86,3.04,10.75,1454.42,385.68,938.09,221.15
2016-12-16,201.49,65.62,327.3,141.98,280.71,39.18,380.48,18.39,3.21,13.9,1472.26,388.5,1019.2,231.44
2016-12-17,196.11,63.03,291.68,122.43,265.56,35.64,359.43,16.9,3.2,13.73,1367.7,375.6,1076.95,213.41
2016-12-18,203.14,60.01,287.45,129.56,269.83,35.23,343.4,16.64,2.6,9.77,1357.63,358.72,1006.32,196.95
2016-12-19,224.72,66.75,345.95,146.04,305.22,39.61,376.82,16.81,3.14,14.62,1539.69,309.82,927.21,186.06
2016-12-20,224.89,73.54,325.19,166.5,299.67,40.64,398.52,16.81,3.5,11.12,1560.39,306.76,975.78,218.7
2016-12-21,217.24,70.15,294.01,152.84,284.6,49.11,394.27,16.37,3.19,10.9,1492.67,346.62,959.9,232.11
2016-12-22,204.15,67.03,295.22,141.33,283.98,47.77,377.84,15.87,3.0,10.02,1446.22,352.71,935.96,207.61
2016-12-23,188.4,61.12,276.38,134.6,253.92,41.11,343.76,14.75,2.82,6.77,1323.63,342.1,961.52,206.2
2016-12-24,154.9,47.7,240.42,110.1,227.45,30.68,285.52,12.86,2.44,5.04,1117.11,326.95,1003.39,188.9
2016-12-25,138.12,42.76,207.3,93.38,173.78,26.65,255.02,11.62,2.25,4.67,955.55,318.51,953.11,174.48
2016-12-26,162.88,50.93,220.36,105.09,224.54,25.36,252.5,12.75,2.36,5.65,1062.43,282.52,938.76,173.67
2016-12-27,195.46,60.98,245.78,128.99,289.46,32.74,289.86,14.34,2.9,6.95,1267.46,286.51,1031.88,254.87
2016-12-28,208.01,66.83,250.91,150.07,314.6,31.97,317.46,16.0,3.06,9.6,1368.51,337.9,1091.51,262.51
2016-12-29,225.0,72.5,267.51,162.89,308.59,33.02,350.64,17.27,3.12,8.35,1448.91,341.24,1113.58,258.89
2016-12-30,233.86,72.16,274.12,158.77,289.29,37.59,369.47,19.18,3.19,5.68,1463.31,356.45,1096.55,256.22
2016-12-31,230.85,69.96,270.1,142.73,244.72,38.19,360.07,16.61,3.28,5.0,1381.5,358.18,1077.79,241.44
2017-01-01,220.73,68.38,253.75,129.47,250.42,38.03,361.43,16.69,3.19,4.49,1346.59,354.43,1032.37,218.94
2017-01-02,239.5,73.2,289.77,149.73,309.91,41.29,401.71,17.55,3.56,9.69,1535.91,303.88,1030.19,205.07
2017-01-03,254.49,74.86,302.23,145.49,326.98,42.9,392.22,18.09,3.66,13.5,1574.41,300.22,1072.98,252.82
2017-01-04,248.95,72.12,304.42,143.74,330.96,39.86,392.06,17.56,3.68,13.91,1567.26,339.49,1042.1,252.64
2017-01-05,251.0,76.49,308.24,172.94,359.85,41.87,442.48,18.37,6.23,10.73,1688.2,343.48,1081.38,241.11
2017-01-06,266.67,81.67,306.93,181.47,340.77,42.41,469.09,20.12,6.38,14.71,1730.21,334.33,1120.78,240.64
2017-01-07,240.89,78.32,324.68,163.73,279.36,47.57,444.8,19.03,4.06,9.29,1611.73,317.65,1038.77,229.06
2017-01-08,209.33,68.51,334.97,139.39,257.3,44.53,425.71,16.37,3.55,5.19,1504.85,323.5,912.39,195.69
2017-01-09,222.58,71.7,381.29,147.23,276.89,49.82,450.5,18.78,3.68,7.78,1630.27,288.19,872.12,181.76
2017-01-10,217.1,71.8,394.79,142.38,285.95,51.94,435.27,18.94,3.63,7.0,1628.82,275.75,906.94,232.81
2017-01-11,206.39,69.0,393.27,132.67,279.75,50.3,401.33,17.01,3.58,7.31,1560.6,306.67,866.13,240.43
2017-01-12,207.01,69.56,376.56,144.99,325.07,45.99,386.48,15.77,3.39,10.68,1585.49,302.82,820.48,202.97
2017-01-13,224.74,72.37,348.66,150.73,343.72,44.08,391.79,17.62,3.64,11.66,1609.0,295.75,753.34,172.2
2017-01-14,213.79,66.53,316.03,145.75,320.64,38.4,372.41,17.1,3.72,8.79,1503.15,300.31,742.16,161.33
2017-01-15,213.76,68.71,309.64,152.84,292.06,40.62,399.28,18.52,3.29,7.7,1506.42,315.1,736.98,128.34
