Date,France_GtP,Belgium_GtP,Italy_GtP,GB_GtP,Germany_GtP,Netherlands_GtP,Total_Gas_to_Power_Demand
2016-10-03,17.81,12.9,71.94,48.36,15.7,20.94,166.71
2016-10-04,17.39,13.24,72.16,59.13,12.22,21.63,174.14
2016-10-05,17.76,13.24,70.69,57.14,13.68,20.68,172.52
2016-10-06,20.17,14.72,75.91,68.6,19.98,22.85,199.39
2016-10-07,20.73,15.67,70.1,69.03,24.57,24.95,200.11
2016-10-08,16.86,14.26,57.62,66.24,15.01,21.3,170.0
2016-10-09,15.46,12.94,50.97,67.57,16.99,19.14,163.92
2016-10-10,21.03,16.4,82.4,75.48,25.15,27.47,220.46
2016-10-11,21.49,16.15,81.85,76.01,22.02,29.33,217.53
2016-10-12,20.85,16.82,79.24,74.44,20.3,25.59,211.65
2016-10-13,21.21,14.13,83.53,73.94,15.38,23.81,208.19
2016-10-14,20.3,15.8,76.78,71.03,11.82,21.41,195.73
2016-10-15,16.36,14.27,52.86,58.57,11.23,18.17,153.3
2016-10-16,16.7,12.47,44.77,45.95,12.12,15.49,132.0
2016-10-17,20.52,16.97,83.77,59.64,23.52,24.03,204.42
2016-10-18,20.79,16.59,83.09,60.02,22.01,26.62,202.51
2016-10-19,21.52,17.09,82.07,71.17,22.08,26.59,213.93
2016-10-20,21.93,17.1,81.68,73.19,21.85,27.81,215.75
2016-10-21,21.5,17.77,78.25,70.59,21.33,27.9,209.43
2016-10-22,18.61,16.71,62.41,65.74,15.67,19.48,179.14
2016-10-23,18.07,16.07,56.97,57.47,16.12,15.14,164.7
2016-10-24,21.89,17.59,82.14,75.19,23.53,27.46,220.34
2016-10-25,22.7,17.05,81.4,75.93,25.65,31.71,222.73
2016-10-26,22.51,16.46,81.19,70.93,23.89,30.12,214.98
2016-10-27,21.64,15.76,71.47,65.1,17.99,27.01,191.96
2016-10-28,21.97,16.28,66.74,75.01,15.56,25.62,195.57
2016-10-29,16.5,15.7,55.88,70.96,9.89,17.07,168.93
2016-10-30,14.92,14.29,44.7,65.22,5.68,12.1,144.82
2016-10-31,17.28,14.35,63.56,73.46,17.11,28.22,185.76
