Date,France_GtP,Belgium_GtP,Italy_GtP,GB_GtP,Germany_IndPower,Germany_GtP_Intermediate,Germany_GtP,Netherlands_IndPower,Netherlands_GtP_Int1,Netherlands_GtP_Int2,Netherlands_GtP,Total_Gas_to_Power_Demand
2016-10-03,17.814772,12.901441,71.937898,48.36,118.197332,15.696855,15.696855,41.471957,20.939482,20.939482,20.939482,187.650449
2016-10-04,17.3899,13.239804,72.164334,59.13,140.546127,12.21793,12.21793,42.216047,21.628383,21.628383,21.628383,195.770352
2016-10-05,17.756927,13.244895,70.690627,57.14,148.094756,13.683965,13.683965,40.500413,20.679145,20.679145,20.679145,193.195559
2016-10-06,20.172079,14.721712,75.910121,68.6,156.945747,19.983941,19.983941,44.164954,22.852018,22.852018,22.852018,222.239872
2016-10-07,20.731206,15.672984,70.100391,69.03,155.273657,24.572573,24.572573,46.13777,24.952657,24.952657,24.952657,225.059811
2016-10-08,16.856264,14.263622,57.623177,66.24,130.705774,15.014256,15.014256,40.662412,21.301628,21.301628,21.301628,191.298947
2016-10-09,15.457602,12.940714,50.967147,67.57,134.821406,16.989332,16.989332,42.05632,19.136511,19.136511,19.136511,183.061306
2016-10-10,21.032942,16.40471,82.398651,75.48,163.154376,25.145607,25.145607,50.359584,27.466345,27.466345,27.466345,247.928255
2016-10-11,21.490423,16.154983,81.847797,76.01,163.870558,22.02398,22.02398,51.223129,29.327492,29.327492,29.327492,246.854675
2016-10-12,20.84526,16.824801,79.235963,74.44,165.627556,20.301001,20.301001,47.559314,25.592593,25.592593,25.592593,237.239618
2016-10-13,21.207842,14.131167,83.525223,73.94,158.646654,15.384159,15.384159,44.078318,23.80562,23.80562,23.80562,231.99401
2016-10-14,20.295024,15.801347,76.77932,71.03,149.012573,11.821848,11.821848,43.454955,21.408284,21.408284,21.408284,217.135824
2016-10-15,16.363865,14.271985,52.860809,58.57,129.912684,11.229423,11.229423,39.487323,18.174668,18.174668,18.174668,171.470749
2016-10-16,16.697737,12.472442,44.765026,45.95,129.543502,12.118546,12.118546,39.292868,15.488391,15.488391,15.488391,147.492142
2016-10-17,20.518251,16.96971,83.770195,59.64,161.795469,23.521042,23.521042,48.465677,24.027658,24.027658,24.027658,228.446857
2016-10-18,20.793178,16.591074,83.094014,60.02,160.398834,22.007497,22.007497,51.439129,26.616006,26.616006,26.616006,229.121768
2016-10-19,21.522805,17.085255,82.066751,71.17,167.1331,22.082641,22.082641,53.299218,26.59225,26.59225,26.59225,240.519702
2016-10-20,21.928705,17.1008,81.682206,73.19,169.505006,21.846543,21.846543,55.630942,27.809098,27.809098,27.809098,243.557353
2016-10-21,21.496978,17.766527,78.248864,70.59,165.745737,21.325868,21.325868,52.172037,27.895878,27.895878,27.895878,237.324115
2016-10-22,18.609872,16.714528,62.412526,65.74,140.973945,15.666312,15.666312,42.984865,19.483628,19.483628,19.483628,198.626866
2016-10-23,18.066263,16.072711,56.971023,57.47,141.818035,16.124448,16.124448,40.203504,15.140304,15.140304,15.140304,179.844749
2016-10-24,21.88775,17.589255,82.135906,75.19,167.41419,23.532677,23.532677,52.637036,27.461012,27.461012,27.461012,247.7966
2016-10-25,22.698267,17.049255,81.403698,75.93,173.718366,25.648345,25.648345,56.398305,31.710284,31.710284,31.710284,254.439849
2016-10-26,22.50934,16.458347,81.191252,70.93,170.155824,23.891914,23.891914,53.386763,30.116746,30.116746,30.116746,245.0976
2016-10-27,21.640087,15.756711,71.470071,65.1,160.557834,17.988989,17.988989,47.423678,27.011602,27.011602,27.011602,218.967461
2016-10-28,21.972759,16.283438,66.742167,75.01,153.063114,15.559172,15.559172,46.187134,25.622165,25.622165,25.622165,221.189701
