Date,France_GtP,Belgium_GtP,Italy_GtP,GB_GtP,Germany_IndPower,Germany_GtP,Netherlands_IndPower,Netherlands_GtP,Total_Gas_to_Power_Demand
2016-10-03,17.81,12.9,71.94,48.36,118.2,15.7,41.47,20.94,187.65
2016-10-04,17.39,13.24,72.16,59.13,140.55,12.22,42.22,21.63,195.77
2016-10-05,17.76,13.24,70.69,57.14,148.09,13.68,40.5,20.68,193.2
2016-10-06,20.17,14.72,75.91,68.6,156.95,19.98,44.16,22.85,222.24
2016-10-07,20.73,15.67,70.1,69.03,155.27,24.57,46.14,24.95,225.06
2016-10-08,16.86,14.26,57.62,66.24,130.71,15.01,40.66,21.3,191.3
2016-10-09,15.46,12.94,50.97,67.57,134.82,16.99,42.06,19.14,183.06
2016-10-10,21.03,16.4,82.4,75.48,163.15,25.15,50.36,27.47,247.93
2016-10-11,21.49,16.15,81.85,76.01,163.87,22.02,51.22,29.33,246.85
2016-10-12,20.85,16.82,79.24,74.44,165.63,20.3,47.56,25.59,237.24
2016-10-13,21.21,14.13,83.53,73.94,158.65,15.38,44.08,23.81,231.99
2016-10-14,20.3,15.8,76.78,71.03,149.01,11.82,43.45,21.41,217.14
2016-10-15,16.36,14.27,52.86,58.57,129.91,11.23,39.49,18.17,171.47
2016-10-16,16.7,12.47,44.77,45.95,129.54,12.12,39.29,15.49,147.49
2016-10-17,20.52,16.97,83.77,59.64,161.8,23.52,48.47,24.03,228.45
2016-10-18,20.79,16.59,83.09,60.02,160.4,22.01,51.44,26.62,229.12
2016-10-19,21.52,17.09,82.07,71.17,167.13,22.08,53.3,26.59,240.52
2016-10-20,21.93,17.1,81.68,73.19,169.51,21.85,55.63,27.81,243.56
2016-10-21,21.5,17.77,78.25,70.59,165.75,21.33,52.17,27.9,237.32
2016-10-22,18.61,16.71,62.41,65.74,140.97,15.67,42.98,19.48,198.63
2016-10-23,18.07,16.07,56.97,57.47,141.82,16.12,40.2,15.14,179.84
2016-10-24,21.89,17.59,82.14,75.19,167.41,23.53,52.64,27.46,247.8
2016-10-25,22.7,17.05,81.4,75.93,173.72,25.65,56.4,31.71,254.44
2016-10-26,22.51,16.46,81.19,70.93,170.16,23.89,53.39,30.12,245.1
2016-10-27,21.64,15.76,71.47,65.1,160.56,17.99,47.42,27.01,218.97
2016-10-28,21.97,16.28,66.74,75.01,153.06,15.56,46.19,25.62,221.19
2016-10-29,16.5,15.7,55.88,70.96,137.32,9.89,39.57,17.07,186.0
2016-10-30,14.92,14.29,44.7,65.22,134.05,5.68,45.37,12.1,156.92
2016-10-31,17.28,14.35,63.56,73.46,153.71,17.11,51.05,28.22,213.97
2016-11-01,16.7,13.47,53.62,72.83,144.59,9.34,47.83,27.41,193.36
2016-11-02,20.01,14.87,80.6,78.66,167.84,11.13,46.49,22.31,227.59
2016-11-03,22.34,17.04,87.08,76.69,177.67,19.54,51.67,29.12,251.81
2016-11-04,23.22,17.07,86.27,68.14,167.57,12.9,47.87,22.31,229.9
