Date,France_GtP,Belgium_GtP,GB_GtP,#Netherlands_GtP,Italy_GtP,Total_Gas_to_Power_Demand
2016-10-03,1.62,,48.36,,6.54,56.52
2016-10-04,1.58,,59.13,,6.56,67.27
2016-10-05,1.61,,57.14,,6.43,65.18
2016-10-06,1.83,,68.6,,6.9,77.33
2016-10-07,1.88,,69.03,,6.37,77.29
2016-10-08,1.53,,66.24,,5.24,73.01
2016-10-09,1.41,,67.57,,4.63,73.61
2016-10-10,1.91,,75.48,,7.49,84.88
2016-10-11,1.95,,76.01,,7.44,85.4
2016-10-12,1.9,,74.44,,7.2,83.54
2016-10-13,1.93,,73.94,,7.59,83.46
2016-10-14,1.85,,71.03,,6.98,79.85
2016-10-15,1.49,,58.57,,4.81,64.86
2016-10-16,1.52,,45.95,,4.07,51.54
2016-10-17,1.87,,59.64,,7.62,69.12
2016-10-18,1.89,,60.02,,7.55,69.46
2016-10-19,1.96,,71.17,,7.46,80.59
2016-10-20,1.99,,73.19,,7.43,82.61
2016-10-21,1.95,,70.59,,7.11,79.66
2016-10-22,1.69,,65.74,,5.67,73.11
2016-10-23,1.64,,57.47,,5.18,64.29
2016-10-24,1.99,,75.19,,7.47,84.65
2016-10-25,2.06,,75.93,,7.4,85.39
2016-10-26,2.05,,70.93,,7.38,80.36
2016-10-27,1.97,,65.1,,6.5,73.56
2016-10-28,2.0,,75.01,,6.07,83.07
2016-10-29,1.5,,70.96,,5.08,77.54
2016-10-30,1.36,,65.22,,4.06,70.64
2016-10-31,1.57,,73.46,,5.78,80.81
2016-11-01,1.52,,72.83,,4.87,79.22
2016-11-02,1.82,,78.66,,7.33,87.81
2016-11-03,2.03,,76.69,,7.92,86.64
2016-11-04,2.11,,68.14,,7.84,78.09
2016-11-05,1.62,,44.64,,5.95,52.21
2016-11-06,1.44,,49.42,,4.57,55.43
2016-11-07,2.16,,75.39,,7.25,84.8
2016-11-08,2.09,,77.65,,7.53,87.27
2016-11-09,2.09,,75.59,,7.54,85.22
2016-11-10,1.93,,76.87,,7.39,86.19
2016-11-11,1.78,,70.95,,7.15,79.88
2016-11-12,1.67,,67.33,,6.39,75.38
2016-11-13,1.56,,66.52,,5.92,74.0
2016-11-14,2.09,,69.74,,8.28,80.11
2016-11-15,2.16,,68.04,,8.13,78.33
2016-11-16,2.19,,62.46,,8.04,72.69
2016-11-17,2.07,,66.27,,8.01,76.35
2016-11-18,2.05,,73.74,,7.78,83.57
2016-11-19,1.41,,66.09,,6.04,73.54
2016-11-20,0.85,,71.33,,5.23,77.41
2016-11-21,1.62,,68.58,,7.36,77.56
2016-11-22,2.06,,73.65,,7.37,83.07
2016-11-23,1.77,,78.31,,7.32,87.4
2016-11-24,1.71,,76.22,,7.21,85.14
2016-11-25,1.81,,75.91,,7.01,84.73
2016-11-26,1.3,,74.88,,5.22,81.4
2016-11-27,0.87,,68.14,,4.79,73.8
2016-11-28,2.1,,78.07,,7.41,87.58
2016-11-29,2.34,,84.47,,7.57,94.38
2016-11-30,2.33,,78.66,,8.07,89.07
2016-12-01,2.37,,83.7,,8.5,94.57
2016-12-02,2.13,,90.24,,8.18,100.55
2016-12-03,1.57,,71.46,,7.07,80.1
2016-12-04,1.68,,69.09,,5.79,76.56
2016-12-05,2.3,,94.07,,8.46,104.83
2016-12-06,2.27,,82.79,,8.85,93.91
2016-12-07,2.24,,69.12,,8.36,79.71
2016-12-08,2.13,,78.95,,6.86,87.94
2016-12-09,2.22,,62.41,,7.66,72.29
2016-12-10,2.02,,59.89,,6.59,68.5
2016-12-11,2.03,,68.22,,5.65,75.9
2016-12-12,2.34,,90.43,,8.63,101.4
2016-12-13,2.27,,83.85,,8.78,94.9
2016-12-14,2.31,,82.15,,8.98,93.45
2016-12-15,2.19,,81.99,,8.83,93.01
2016-12-16,2.2,,85.64,,8.12,95.96
2016-12-17,2.01,,66.06,,6.74,74.81
2016-12-18,2.01,,67.36,,6.4,75.77
2016-12-19,2.36,,85.71,,8.65,96.72
2016-12-20,2.38,,73.31,,8.29,83.98
2016-12-21,2.33,,65.77,,7.82,75.92
2016-12-22,2.34,,61.07,,7.69,71.1
2016-12-23,1.83,,43.16,,6.94,51.92
2016-12-24,1.09,,34.06,,5.67,40.82
2016-12-25,0.49,,23.71,,4.17,28.36
2016-12-26,1.3,,33.14,,5.11,39.55
2016-12-27,1.73,,58.08,,6.13,65.94
2016-12-28,1.7,,62.46,,6.03,70.19
2016-12-29,1.98,,58.98,,6.19,67.15
2016-12-30,2.02,,54.71,,6.3,63.02
2016-12-31,1.76,,42.5,,6.44,50.7
2017-01-01,1.45,,41.2,,5.61,48.26
2017-01-02,2.08,,59.86,,7.04,68.98
2017-01-03,2.3,,66.01,,8.0,76.3
2017-01-04,2.26,,80.5,,7.66,90.43
2017-01-05,2.27,,84.2,,7.26,93.73
2017-01-06,2.1,,78.51,,6.21,86.81
2017-01-07,1.51,,72.83,,6.55,80.89
2017-01-08,1.1,,63.97,,6.9,71.97
2017-01-09,1.86,,61.11,,8.35,71.32
2017-01-10,1.84,,63.08,,9.02,73.93
2017-01-11,1.85,,52.94,,8.86,63.66
2017-01-12,1.73,,64.84,,8.15,74.73
2017-01-13,1.7,,61.44,,7.08,70.21
2017-01-14,1.32,,60.86,,6.89,69.07
2017-01-15,1.31,,61.31,,6.51,69.13
2017-01-16,2.21,,89.04,,8.33,99.58
2017-01-17,2.39,,89.51,,8.67,100.58
2017-01-18,2.47,,86.26,,8.55,97.29
2017-01-19,2.47,,87.94,,8.24,98.65
2017-01-20,2.4,,80.88,,7.93,91.21
2017-01-21,2.08,,73.54,,7.6,83.23
2017-01-22,1.57,,77.0,,6.78,85.36
2017-01-23,2.22,,80.81,,8.88,91.91
2017-01-24,2.4,,74.71,,8.73,85.84
2017-01-25,2.38,,66.66,,8.74,77.78
2017-01-26,2.23,,71.16,,9.11,82.5
2017-01-27,1.71,,70.68,,8.72,81.11
2017-01-28,1.38,,66.48,,7.13,75.0
2017-01-29,1.2,,70.25,,6.27,77.72
2017-01-30,1.87,,74.19,,8.78,84.84
2017-01-31,1.85,,73.99,,8.8,84.64
2017-02-01,1.42,,55.81,,8.27,65.51
2017-02-02,1.1,,42.63,,7.87,51.6
2017-02-03,0.89,,43.51,,6.8,51.19
2017-02-04,0.49,,44.22,,4.92,49.63
2017-02-05,0.7,,50.5,,4.42,55.61
2017-02-06,1.9,,55.2,,6.84,63.94
2017-02-07,1.88,,65.12,,7.34,74.34
2017-02-08,1.92,,69.76,,7.61,79.29
2017-02-09,2.01,,74.44,,7.58,84.03
2017-02-10,2.08,,73.92,,7.77,83.77
2017-02-11,0.49,,51.29,,5.8,57.58
2017-02-12,1.34,,43.82,,4.52,49.68
2017-02-13,1.97,,49.84,,7.49,59.3
2017-02-14,2.07,,71.02,,7.59,80.68
2017-02-15,2.03,,69.27,,7.6,78.9
2017-02-16,2.09,,58.83,,7.85,68.77
2017-02-17,2.06,,66.45,,7.61,76.12
