Date,France_Industrial,Belgium_Industrial,Italy_Industrial,GB_Industrial,Netherlands_IndPower,Netherlands_Zebra,Germany_Total,Germany_GtP,Germany_Industrial,Total_Industrial_Demand
2016-10-03,34.143537,10.099171,37.942579,10.26,41.471957,4.281814,118.197332,15.696855,102.500477,240.699536
2016-10-04,34.325092,10.623353,38.500906,10.22,42.216047,4.044814,140.546127,12.21793,128.328197,268.258408
2016-10-05,35.050273,11.215988,39.642232,10.92,40.500413,3.776269,148.094756,13.683965,134.410791,275.515965
2016-10-06,36.247644,10.573989,38.947569,10.86,44.164954,4.234541,156.945747,19.983941,136.961805,281.990503
2016-10-07,36.240617,9.844172,38.121461,10.76,46.13777,5.807539,155.273657,24.572573,130.701084,277.612643
2016-10-08,34.23051,10.227898,32.498748,11.01,40.662412,5.560994,130.705774,15.014256,115.691517,249.882081
2016-10-09,33.694629,10.06408,31.037677,10.91,42.05632,4.950268,134.821406,16.989332,117.832074,250.545048
2016-10-10,37.822397,10.981807,39.472559,11.61,50.359584,5.655449,163.154376,25.145607,138.008769,293.910565
2016-10-11,38.178215,10.94708,40.721685,11.64,51.223129,5.574449,163.870558,22.02398,141.846578,300.131135
2016-10-12,39.393559,11.307625,41.60863,11.86,47.559314,5.63654,165.627556,20.301001,145.326555,302.692223
2016-10-13,39.648632,11.237352,41.800157,11.9,44.078318,4.443814,158.646654,15.384159,143.262495,296.370767
2016-10-14,38.287324,11.13417,39.598641,11.92,43.454955,5.208449,149.012573,11.821848,137.190725,286.794264
2016-10-15,35.95279,10.652262,33.228602,11.71,39.487323,4.561632,129.912684,11.229423,118.683261,254.275869
2016-10-16,34.6879,10.534807,31.634513,11.3,39.292868,4.682177,129.543502,12.118546,117.424956,249.557222
2016-10-17,36.895344,10.952807,39.88625,11.57,48.465677,5.533903,161.795469,23.521042,138.274427,291.578407
2016-10-18,38.574751,11.160807,40.643494,11.58,51.439129,5.174631,160.398834,22.007497,138.391337,296.964149
2016-10-19,39.28265,11.67617,40.429585,11.91,53.299218,4.485359,167.1331,22.082641,145.050459,306.133441
2016-10-20,40.232413,12.033715,40.685822,11.38,55.630942,4.957359,169.505006,21.846543,147.658463,312.578713
2016-10-21,40.203677,11.572261,39.677668,9.52,52.172037,4.409086,165.745737,21.325868,144.41987,301.974598
2016-10-22,38.025024,11.210716,34.078037,8.3,42.984865,4.492359,140.973945,15.666312,125.307632,264.398633
2016-10-23,36.051699,11.019079,31.789267,8.06,40.203504,4.885086,141.818035,16.124448,125.693587,257.702222
2016-10-24,37.504043,11.649442,39.36215,10.06,52.637036,5.062449,167.41419,23.532677,143.881513,300.156634
2016-10-25,37.832588,11.767261,39.619368,10.45,56.398305,5.372267,173.718366,25.648345,148.070021,309.50981
2016-10-26,38.677378,11.641897,39.586214,10.93,53.386763,4.916904,170.155824,23.891914,146.26391,305.403065
2016-10-27,38.701133,11.380715,39.715104,10.62,47.423678,5.179176,160.557834,17.988989,142.568844,295.588652
2016-10-28,38.510951,11.365079,39.455632,10.53,46.187134,5.937176,153.063114,15.559172,137.503943,289.489914
2016-10-29,39.057087,11.178534,33.277466,11.27,39.570141,4.661086,137.318767,9.894768,127.423999,266.438312
2016-10-30,36.295062,10.505807,30.505177,10.83,45.371226,4.566904,134.045225,5.68428,128.360945,266.435122
2016-10-31,39.352087,10.747534,34.540082,11.47,51.049856,5.032995,153.708204,17.112956,136.595249,288.787803
2016-11-01,40.610876,10.932807,31.971885,11.88,47.831223,6.397175,144.590759,9.336279,135.254481,284.878447
2016-11-02,44.59149,11.688897,40.309922,12.07,46.491952,4.417359,167.83619,11.127615,156.708575,316.278195
2016-11-03,45.741107,11.943624,40.675294,11.97,51.670492,5.437085,177.669816,19.543258,158.126558,325.564161
2016-11-04,45.068535,12.078442,40.231467,11.77,47.867496,5.053358,167.569099,12.904407,154.664692,316.733991
2016-11-05,42.063066,11.225534,34.183446,11.02,42.117775,4.374359,142.988579,10.982175,132.006404,276.990584
2016-11-06,43.03421,11.224897,32.419448,11.03,40.710958,4.467268,148.358937,10.971024,137.387913,280.274695
2016-11-07,48.380195,12.082624,41.547084,12.33,52.401309,4.743813,189.085986,21.267207,167.818779,339.303805
2016-11-08,48.413077,12.196624,42.927419,12.91,57.863486,5.396085,197.04516,27.0053,170.03986,349.746551
2016-11-09,47.76476,12.167351,43.634637,12.56,55.274306,5.531903,195.983797,26.789564,169.194233,346.12719
2016-11-10,45.506953,11.891897,43.7331,12.03,56.177215,4.958086,195.452434,26.03473,169.417704,343.714954
2016-11-11,43.078737,11.383806,42.430383,11.77,53.91249,4.080996,193.017073,28.335591,164.681482,331.337894
2016-11-12,42.717865,11.221807,36.111635,11.31,47.054679,3.440542,168.605189,17.541519,151.06367,302.920197
2016-11-13,41.894448,10.911534,34.109483,11.67,49.138131,3.22536,172.412003,13.187045,159.224958,310.173914
2016-11-14,46.542115,11.535897,43.285192,11.7,55.117125,3.628996,197.012069,20.246218,176.765851,348.575176
2016-11-15,44.901726,11.59317,44.693317,11.35,54.504125,3.941814,187.251624,19.451631,167.799993,338.784146
2016-11-16,44.667281,11.573079,44.48629,10.94,51.850855,3.493178,172.640912,19.362428,153.278484,320.289168
2016-11-17,44.371327,11.49717,44.064318,11.63,47.270315,3.480724,161.772742,13.560826,148.211916,310.525769
2016-11-18,45.208644,12.428533,42.215984,12.12,44.55059,2.392816,162.347377,12.6048,149.742577,308.659143
2016-11-19,42.903828,11.410715,35.514036,11.5,38.715233,2.989997,147.193484,10.33836,136.855124,279.888933
2016-11-20,40.988321,10.566353,33.948328,11.57,36.825144,2.665452,138.344857,8.966861,129.377996,265.941594
2016-11-21,43.052828,10.954898,42.875465,11.51,47.539951,2.837815,162.145196,16.194744,145.950451,304.721408
2016-11-22,44.204018,11.041534,42.780765,12.38,51.394947,3.000724,170.047188,20.368873,149.678315,314.480303
2016-11-23,44.233254,11.160988,42.479283,12.42,51.832946,3.233724,173.390911,23.671815,149.719096,315.079292
2016-11-24,44.335836,11.48317,41.782511,12.23,51.780219,3.061542,177.843725,22.235353,155.608372,320.281651
2016-11-25,44.509954,11.445534,40.388049,12.08,54.465307,3.365997,180.064995,22.273167,157.791828,324.046669
2016-11-26,42.213047,10.567898,34.912027,12.0,52.347128,2.829633,157.9752,17.167253,140.807947,295.677681
2016-11-27,43.086892,10.593716,32.866521,11.6,47.363224,2.539634,157.989927,11.294871,146.695057,294.745043
2016-11-28,48.775813,11.550261,42.653701,12.29,54.728852,3.540269,203.60788,19.652823,183.955057,357.493954
2016-11-29,49.61164,12.09826,45.169108,12.54,56.103215,3.762632,208.857056,24.602146,184.25491,363.539765
2016-11-30,49.855112,11.570897,45.188335,12.02,50.745947,3.546724,194.643708,13.506044,181.137664,354.064679
