Date,France_LDZ,Belgium_LDZ,Italy_LDZ,Italy_Other,Netherlands_LDZ,GB_LDZ,Austria_LDZ,Germany_LDZ,Switzerland_LDZ,Luxembourg_LDZ,Ireland_LDZ,Total_LDZ_Demand
2016-10-03,38.175524,15.163439,38.636233,-0.123536,27.120881,101.47,17.236346,56.053669,7.093065,1.549089,5.43,307.80471
2016-10-04,40.856058,17.1998,40.177795,0.622945,30.630696,94.51,20.647251,64.489115,7.064956,1.313544,7.78,325.29216
2016-10-05,45.553635,19.064344,41.740802,1.714316,37.689143,94.29,25.622701,80.248008,7.45102,2.089452,5.22,360.68342
2016-10-06,54.432571,21.616887,44.462981,0.2011,43.355319,105.13,23.378158,86.520456,9.2324,2.173361,6.56,397.063232
2016-10-07,56.572505,20.02207,44.36929,3.845169,38.724414,107.9,22.429068,85.265548,8.918427,2.203725,9.32,399.570217
2016-10-08,49.417576,17.448618,39.213805,1.252326,34.731873,98.16,19.714525,92.940995,8.090828,1.804816,7.59,370.365362
2016-10-09,53.854217,18.416708,40.81403,1.986362,39.26205,105.35,19.754525,100.775623,9.066354,1.239999,7.43,397.949868
2016-10-10,73.81716,22.919067,57.360504,0.697681,47.740132,128.28,27.119063,111.20143,10.992643,2.036907,9.58,491.744588
2016-10-11,81.59257,24.242157,69.824691,0.492745,50.206312,132.32,27.827244,115.669789,11.245161,2.204452,8.06,523.685121
2016-10-12,85.55952,26.346518,74.885886,3.317378,52.224219,125.92,27.668153,115.043154,10.829371,2.19527,8.46,532.44947
2016-10-13,86.321656,25.704428,85.471493,2.14048,53.573581,132.13,25.700882,112.256793,10.752734,2.362088,8.92,545.334136
2016-10-14,78.475573,24.141611,83.972986,2.900497,48.726222,129.2,23.629066,104.372801,9.377227,2.46127,8.7,515.957254
2016-10-15,61.698027,18.576799,64.845942,3.652351,42.594865,115.48,18.92998,89.245635,8.266328,2.244089,6.23,431.764015
2016-10-16,53.419099,15.520166,56.174142,1.475698,32.324512,114.16,17.315437,81.798733,8.262782,1.451726,5.42,387.322295
