,Demand,,,,,,,,,,Demand (Net),,,,
,,,,,,,,,,,,,,,
,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
,,,,,,,,,,,,,,,
42644,68.46270909,32.51336364,117.4256818,68.23972727,153.02,13.20363636,150.8214545,4.583918182,0.793636364,0,7.16,616.2241273,203.6213606,246.0738727,163.1550758
42645,68.54161818,32.58709091,108.5666273,69.74218182,149.37,13.91,158.2647273,5.0654,1.152909091,0,6.13,613.3305545,201.8770697,266.3661636,141.5181394
42646,90.13392727,38.16409091,150.9656636,72.87472727,160.09,17.23636364,174.2511818,7.093072727,1.549090909,0,5.43,717.7881182,215.4748273,310.3772545,187.6542182
42647,92.57114545,41.063,154.3936909,76.89163636,163.86,20.64727273,205.0354545,7.064963636,1.313545455,0,7.78,770.6207091,242.582103,328.2199455,195.7738424
42648,98.36093636,43.52527273,157.4024182,81.96590909,162.35,25.62272727,228.343,7.451027273,2.089454545,0,5.22,812.3307455,251.0574,364.2979727,193.1991
42649,110.8524091,46.91263636,163.9410636,91.75490909,184.59,23.37818182,243.4664545,9.232409091,2.173363636,0,6.56,882.8614273,254.8999576,401.4826545,222.2442697
42650,113.5444455,45.53927273,158.9355,90.66981818,187.69,22.42909091,240.5394545,8.918436364,2.203727273,0,9.32,879.7897455,246.8477909,402.0695364,225.0648727
42651,100.5044545,41.94018182,133.4010182,80.95536364,175.41,19.71454545,223.647,8.090836364,1.804818182,0,7.59,793.0582182,223.0160848,373.1784636,191.3026697
42652,103.0065545,41.42154545,128.0434273,86.26872727,183.83,19.75454545,235.5972727,9.066363636,1.24,0,7.43,815.6584364,226.4549182,401.1882455,183.065
42653,132.6726364,50.30563636,183.7965455,103.7552727,215.37,27.11909091,274.3560909,10.99265455,2.036909091,0,9.58,1009.984836,260.7838242,495.6119182,247.9336394
42654,141.2613545,51.34427273,197.2813727,107.004,219.97,27.82727273,279.5406364,11.24517273,2.204454545,0,8.06,1045.738536,265.2243758,528.0797727,246.8599333
42655,145.7984909,54.479,204.3690273,105.4201818,212.22,27.66818182,280.671,10.82938182,2.195272727,0,8.46,1052.110536,271.4588182,537.7708455,237.2443273
42656,147.1782818,51.073,217.1747909,102.0958182,217.97,25.70090909,270.9037273,10.75274545,2.362090909,0,8.92,1054.131364,268.1177212,549.5717727,231.9980515
42657,137.0580636,51.07718182,207.2246455,97.38972727,212.15,23.62909091,253.3856364,9.377236364,2.461272727,0,8.7,1002.452855,260.1745,519.9306364,217.1392636
42658,114.0148,43.50109091,158.6087364,86.64390909,185.76,18.93,219.1585455,8.266336364,2.244090909,0,6.23,843.3575091,231.5368879,435.7852091,171.4737758
42659,104.8048455,38.52745455,137.6391909,76.29963636,171.41,17.31545455,211.3424545,8.262790909,1.451727273,0,5.42,772.4735545,229.3841485,390.9122455,147.4949788
42660,120.1587455,46.75636364,195.1620273,90.68990909,190.02,21.64818182,238.1110909,8.740281818,2.157636364,0,7.26,920.7042364,262.0124,424.7061909,228.4517364
42661,129.5959182,50.82145455,195.1383818,104.2998182,207.5,24.93545455,237.5385455,8.469390909,2.138909091,0,7.94,968.3778727,265.1689636,468.9075182,229.1267545
42662,140.6984818,55.23181818,196.8293182,109.3384545,220.89,22.89,258.9941818,10.03141818,2.391727273,0,9.54,1026.8354,275.0512879,506.7740545,240.5246939
42663,144.2151455,54.90027273,200.5586455,115.0724545,222.16,24.26454545,273.8203636,10.34069091,2.445454545,0,9.71,1057.487573,279.8076212,529.1601455,243.5624424
42664,144.1268818,55.64045455,198.4698727,110.4337273,222.28,25.26454545,282.3687273,10.99876364,2.614272727,0,9.51,1061.707245,269.6650333,550.3039636,237.3291576
42665,133.2095455,51.869,170.4504182,100.8914545,214.07,22.58818182,262.667,9.994909091,2.048727273,0,5.67,973.4592364,240.4194091,529.9169818,198.6304818
42666,127.2690091,55.69563636,163.4215091,102.719,207.97,22.42727273,265.4562727,9.997027273,2.121636364,0,4.92,961.9973636,237.6739758,539.5903273,179.8479697
42667,130.8470091,58.84272727,205.2736818,120.6622727,238.76,23.33,277.7863636,9.315690909,2.437,0,9.41,1076.664745,267.6283939,556.1720727,247.8018242
42668,130.0575,56.41790909,203.9213364,119.2040909,231.75,23.35090909,277.2566364,8.455045455,2.285545455,0,10.57,1063.268973,272.4218545,531.0291364,254.4457091
42669,135.6356455,55.29990909,199.8911,110.8600909,214.74,20.94909091,276.3307273,8.2994,2.498090909,0,8.42,1032.924055,270.3643394,512.5396818,245.1031242
42670,138.1787818,52.35009091,187.2689545,99.26681818,208.92,24.63818182,258.7015455,9.673172727,2.574636364,0,7.51,989.0821818,263.3936818,501.5372455,218.9720727
42671,139.1220727,50.31881818,185.0943909,95.10454545,206.9,27.69181818,245.0301818,10.59671818,2.502545455,0,9.67,972.0310909,257.9267545,486.9732273,221.1939273
42672,126.8103364,45.63672727,160.2817545,82.73581818,196.09,25.56181818,230.5163636,11.48115455,1.847,0,6.37,887.3309727,244.7025667,451.9635909,186.0037242
42673,117.6134545,43.78509091,143.6346455,91.34945455,194.97,22.50181818,229.6832727,9.562263636,1.903909091,0,9.33,864.3339091,249.766097,453.0792182,156.9216848
42674,130.8949364,45.17663636,179.0700364,100.41,208.59,24.51454545,249.8863636,11.19523636,2.050545455,0,8.49,960.2783,255.5318212,485.7345182,213.9789606
42675,132.0248909,45.23481818,163.5636455,105.3365455,235.96,25.86818182,246.6400909,10.97838182,0.622090909,0,8.72,974.9486455,251.0721394,524.1148909,193.3644333
42676,158.7349818,52.82272727,211.1106182,108.4199091,265.39,32.65545455,279.0662727,11.00610909,2.112727273,0,11.25,1132.5688,289.5502273,611.0092818,227.5919273
42677,176.0348818,57.40145455,219.7861818,117.2328182,273.42,30.67727273,306.3955455,11.67029091,2.437272727,0,10.57,1205.625718,290.9996424,657.3711727,251.8178121
42678,173.2758364,58.69627273,219.0112091,114.0018182,255.45,31.17272727,304.9021818,11.56819091,2.201181818,0,9.78,1180.059418,289.3683939,655.7296636,229.907997
42679,151.6804,49.32918182,187.9497818,104.8728182,241.34,25.89818182,275.3044545,9.774772727,2.341636364,0,5.95,1054.441227,252.5528636,627.8249364,169.6890636
