Date,Slovakia_to_Austria,Russia_Nord_Stream_to_Germany,Norway_to_Europe,Netherlands_Production,GB_Production,LNG_Import,Algeria_to_Italy,Libya_to_Italy,Spain_to_France,Denmark_to_Germany,Czech_and_Poland_to_Germany,Austria_to_Hungary_Export,Slovenia_to_Austria,MAB_to_Austria,TAP_to_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-10-02,108.87,121.08,206.67,79.69,94.01,47.86,25.33,10.98,-8.43,2.48,146.27,-9.56,-4.47,-11.92,0.0,2.29,16.0,15.1,842.24
2016-10-03,111.66,121.14,245.11,86.05,85.65,51.16,34.03,12.13,-8.5,1.02,138.52,-9.69,-5.69,-11.69,0.0,2.27,15.93,14.99,884.08
2016-10-04,119.86,121.18,260.65,90.49,97.74,53.93,35.78,12.12,-8.84,1.24,143.36,-9.31,-5.74,-11.61,0.0,2.27,16.05,14.33,933.49
2016-10-05,118.58,121.19,253.32,110.57,99.59,55.92,36.22,10.95,-9.23,1.17,141.68,-11.0,-6.11,-11.86,0.0,2.32,16.19,13.85,943.35
2016-10-06,121.24,121.52,313.22,102.75,93.54,53.04,37.13,11.44,-10.22,1.32,143.08,-10.8,-6.49,-12.18,0.0,2.34,16.14,13.92,991.0
2016-10-07,122.97,121.4,299.87,106.98,99.95,42.86,39.19,10.45,-11.15,2.81,140.14,-9.09,-6.84,-11.61,0.0,2.33,16.22,14.08,980.57
2016-10-08,116.24,121.16,302.78,109.24,99.28,39.65,36.97,9.95,-9.06,1.68,143.04,-7.41,-6.46,-11.57,0.0,2.31,15.92,14.62,978.34
2016-10-09,117.1,121.36,300.24,112.9,99.5,34.56,34.38,10.96,-8.32,2.35,148.32,-7.12,-6.43,-11.51,0.0,2.32,16.08,14.46,981.13
2016-10-10,120.6,121.5,321.95,122.67,102.95,58.28,46.66,11.77,-9.69,3.6,154.0,-6.87,-7.14,-11.91,0.0,2.36,16.02,14.6,1061.37
2016-10-11,119.8,120.68,310.49,99.45,104.02,59.75,55.29,10.47,-10.31,3.0,156.48,-7.98,-7.19,-11.02,0.0,2.36,16.09,14.24,1035.64
2016-10-12,121.01,121.3,311.77,122.98,104.47,63.2,60.54,10.69,-8.82,5.78,155.93,-7.65,-7.18,-10.09,0.0,2.18,16.09,14.77,1076.96
2016-10-13,120.73,121.11,320.55,127.12,98.56,66.9,60.84,12.16,-9.78,1.93,153.06,-8.05,-7.11,-9.71,0.0,2.42,16.21,14.09,1081.03
2016-10-14,119.86,121.06,315.16,121.95,94.78,56.0,59.0,12.15,-9.48,0.26,144.74,-7.28,-6.87,-10.28,0.0,2.38,16.28,14.01,1043.72
2016-10-15,120.17,120.31,312.59,116.02,102.06,61.91,48.09,12.16,-8.62,-0.73,143.18,-8.2,-6.3,-12.22,0.0,2.3,16.16,14.34,1033.23
2016-10-16,115.15,120.35,312.84,111.34,104.03,55.29,45.89,12.15,-8.86,-0.63,145.26,-8.14,-6.09,-12.27,0.0,2.29,16.18,14.36,1019.14
2016-10-17,108.9,121.1,321.68,115.59,98.69,62.57,59.77,10.48,-10.0,2.12,150.21,-8.17,-6.58,-11.11,0.0,2.27,16.29,13.86,1047.65
2016-10-18,120.47,121.09,320.17,116.93,101.11,65.45,61.06,11.76,-10.83,0.95,146.53,-7.34,-6.61,-10.55,0.0,2.3,15.92,13.87,1062.26
2016-10-19,118.28,121.55,309.35,122.18,99.85,62.32,61.13,11.38,-9.99,0.42,147.46,-7.25,-6.65,-11.48,0.0,2.33,16.08,13.86,1050.83
2016-10-20,118.41,121.57,327.14,131.02,95.33,60.58,61.6,12.16,-12.69,1.3,149.65,-8.69,-6.84,-11.51,0.0,2.35,16.15,14.19,1071.71
2016-10-21,119.76,121.57,322.65,131.32,90.11,65.42,59.13,12.97,-14.36,0.32,151.51,-8.5,-6.92,-9.26,0.0,2.41,16.2,14.33,1068.66
2016-10-22,121.21,121.55,319.94,106.12,96.98,57.36,53.51,14.46,-9.53,2.57,151.6,-8.64,-6.65,-11.92,0.0,2.41,16.08,14.46,1041.51
2016-10-23,119.06,121.56,327.41,116.15,106.32,48.35,53.26,12.97,-9.36,2.37,151.69,-8.73,-6.29,-12.05,0.0,2.41,16.08,14.49,1055.69
2016-10-24,121.57,121.55,322.6,130.03,105.58,52.51,58.71,12.77,-11.71,0.61,150.87,-8.52,-6.63,-10.56,0.0,2.57,15.71,14.45,1072.1
2016-10-25,122.64,121.55,327.86,126.69,107.46,55.46,59.13,12.29,-13.54,-1.41,151.9,-8.56,-6.61,-11.11,0.0,2.52,15.85,14.3,1076.41
2016-10-26,121.75,121.45,326.28,133.32,104.59,55.97,58.88,12.14,-12.58,-1.33,152.02,-8.28,-6.53,-11.05,0.0,2.43,16.12,14.42,1079.61
2016-10-27,121.11,121.4,307.19,114.09,107.24,44.47,58.56,15.48,-11.33,-1.23,150.09,-8.5,-6.83,-11.13,0.0,2.52,16.05,14.41,1033.59
2016-10-28,120.39,121.82,312.36,120.86,107.77,35.19,58.66,16.72,-10.11,-1.19,149.85,-8.75,-6.81,-9.78,0.0,2.76,15.69,14.94,1040.38
