Date,Total_Gas_to_Power_Demand
2016-10-03,166.71
2016-10-04,174.14
2016-10-05,172.52
2016-10-06,199.39
2016-10-07,200.11
2016-10-08,170.0
2016-10-09,163.92
2016-10-10,220.46
2016-10-11,217.53
2016-10-12,211.65
2016-10-13,208.19
2016-10-14,195.73
2016-10-15,153.3
2016-10-16,132.0
2016-10-17,204.42
2016-10-18,202.51
2016-10-19,213.93
2016-10-20,215.75
2016-10-21,209.43
2016-10-22,179.14
2016-10-23,164.7
2016-10-24,220.34
2016-10-25,222.73
2016-10-26,214.98
2016-10-27,191.96
2016-10-28,195.57
2016-10-29,168.93
2016-10-30,144.82
2016-10-31,185.76
2016-11-01,165.95
2016-11-02,205.28
2016-11-03,222.69
2016-11-04,207.6
2016-11-05,149.63
2016-11-06,138.73
2016-11-07,217.82
2016-11-08,228.43
2016-11-09,225.54
2016-11-10,222.46
2016-11-11,214.16
2016-11-12,189.49
2016-11-13,178.2
2016-11-14,221.11
2016-11-15,217.36
2016-11-16,211.52
2016-11-17,205.77
2016-11-18,209.66
2016-11-19,171.13
2016-11-20,156.96
2016-11-21,196.22
2016-11-22,213.19
2016-11-23,216.97
2016-11-24,211.97
2016-11-25,211.01
2016-11-26,177.59
2016-11-27,152.73
2016-11-28,218.44
2016-11-29,236.04
2016-11-30,225.46
2016-12-01,235.26
2016-12-02,241.98
2016-12-03,201.48
2016-12-04,183.65
2016-12-05,258.51
2016-12-06,253.12
2016-12-07,230.62
2016-12-08,211.65
2016-12-09,207.24
2016-12-10,183.1
2016-12-11,178.74
2016-12-12,253.02
2016-12-13,250.59
2016-12-14,256.8
2016-12-15,250.95
2016-12-16,245.64
2016-12-17,205.15
2016-12-18,199.35
2016-12-19,254.67
2016-12-20,237.85
2016-12-21,218.18
2016-12-22,215.5
2016-12-23,176.43
2016-12-24,125.94
2016-12-25,89.1
2016-12-26,120.75
2016-12-27,171.75
2016-12-28,183.12
2016-12-29,186.85
2016-12-30,180.11
2016-12-31,157.62
2017-01-01,140.86
2017-01-02,194.46
2017-01-03,210.36
2017-01-04,221.15
2017-01-05,231.44
2017-01-06,213.41
2017-01-07,196.95
2017-01-08,186.06
2017-01-09,218.7
2017-01-10,232.11
2017-01-11,207.61
2017-01-12,206.2
2017-01-13,188.9
2017-01-14,174.48
2017-01-15,173.67
2017-01-16,254.87
2017-01-17,262.51
2017-01-18,258.89
2017-01-19,256.22
2017-01-20,241.44
2017-01-21,218.94
2017-01-22,205.07
2017-01-23,252.82
2017-01-24,252.64
2017-01-25,241.11
2017-01-26,240.64
2017-01-27,229.06
2017-01-28,195.69
2017-01-29,181.76
2017-01-30,232.81
2017-01-31,240.43
2017-02-01,202.97
2017-02-02,172.2
2017-02-03,161.33
2017-02-04,128.34
2017-02-05,131.2
2017-02-06,193.28
2017-02-07,210.91
2017-02-08,218.08
2017-02-09,227.05
2017-02-10,224.18
2017-02-11,148.24
2017-02-12,132.51
2017-02-13,188.15
2017-02-14,213.47
2017-02-15,214.36
2017-02-16,205.32
2017-02-17,213.14
2017-02-18,158.24
2017-02-19,145.88
2017-02-20,182.65
2017-02-21,178.68
2017-02-22,175.62
2017-02-23,176.97
2017-02-24,193.41
2017-02-25,141.04
