Date,Total_Gas_to_Power_Demand
2016-10-03,187.650449
2016-10-04,195.770352
2016-10-05,193.195559
2016-10-06,222.239872
2016-10-07,225.059811
2016-10-08,191.298947
2016-10-09,183.061306
2016-10-10,247.928255
2016-10-11,246.854675
2016-10-12,237.239618
2016-10-13,231.99401
2016-10-14,217.135824
2016-10-15,171.470749
2016-10-16,147.492142
2016-10-17,228.446857
2016-10-18,229.121768
2016-10-19,240.519702
2016-10-20,243.557353
2016-10-21,237.324115
2016-10-22,198.626866
2016-10-23,179.844749
2016-10-24,247.7966
2016-10-25,254.439849
2016-10-26,245.0976
2016-10-27,218.967461
2016-10-28,221.189701
2016-10-29,186.000937
2016-10-30,156.91983
2016-10-31,213.97433
2016-11-01,193.360673
2016-11-02,227.588465
2016-11-03,251.812815
2016-11-04,229.904345
2016-11-05,169.685863
2016-11-06,154.02981
2016-11-07,242.159954
2016-11-08,256.140186
2016-11-09,253.645393
2016-11-10,249.38173
2016-11-11,240.316069
2016-11-12,211.342347
2016-11-13,198.716568
2016-11-14,246.801683
2016-11-15,242.437165
2016-11-16,237.469786
2016-11-17,227.240488
2016-11-18,228.545872
2016-11-19,185.07801
2016-11-20,165.788048
2016-11-21,217.881357
2016-11-22,234.927012
2016-11-23,243.163444
2016-11-24,235.071898
2016-11-25,235.148022
2016-11-26,203.383791
2016-11-27,174.722214
2016-11-28,242.013523
2016-11-29,264.765555
2016-11-30,249.526129
2016-12-01,258.214553
2016-12-02,266.730823
2016-12-03,226.519791
2016-12-04,206.429292
2016-12-05,288.440797
2016-12-06,282.290346
2016-12-07,255.917406
2016-12-08,232.976241
2016-12-09,228.303638
2016-12-10,200.561131
2016-12-11,191.289811
2016-12-12,277.911611
2016-12-13,278.270044
2016-12-14,284.320795
2016-12-15,277.7214
2016-12-16,273.821756
2016-12-17,236.125014
2016-12-18,227.200824
2016-12-19,285.450349
2016-12-20,269.604298
2016-12-21,247.100815
2016-12-22,244.59804
2016-12-23,201.593833
2016-12-24,137.347079
2016-12-25,96.298703
2016-12-26,129.905132
2016-12-27,193.462015
2016-12-28,208.217279
2016-12-29,215.089884
2016-12-30,203.136772
2016-12-31,176.044123
2017-01-01,155.991415
2017-01-02,217.689565
2017-01-03,233.033756
2017-01-04,240.289331
2017-01-05,260.035626
2017-01-06,243.510881
2017-01-07,220.268813
2017-01-08,210.222897
2017-01-09,244.606469
2017-01-10,258.542813
2017-01-11,228.384347
2017-01-12,230.062602
2017-01-13,208.710032
2017-01-14,188.934889
2017-01-15,192.826007
2017-01-16,284.963865
2017-01-17,293.743251
2017-01-18,291.569274
2017-01-19,288.441384
2017-01-20,273.586817
2017-01-21,246.873434
2017-01-22,226.662737
2017-01-23,283.991082
2017-01-24,285.265628
2017-01-25,273.773227
2017-01-26,271.409622
2017-01-27,257.161777
2017-01-28,214.957339
2017-01-29,195.640274
2017-01-30,259.218248
2017-01-31,268.592625
2017-02-01,230.247922
2017-02-02,197.3112
2017-02-03,186.303859
2017-02-04,143.94366
2017-02-05,145.902532
2017-02-06,217.51204
2017-02-07,235.592552
2017-02-08,244.120367
2017-02-09,253.952077
2017-02-10,252.226941
2017-02-11,169.409979
2017-02-12,145.094936
2017-02-13,207.756988
2017-02-14,238.01222
2017-02-15,241.5955
2017-02-16,228.253133
2017-02-17,236.308687
2017-02-18,177.876093
2017-02-19,156.801198
2017-02-20,199.027518
2017-02-21,197.451385
2017-02-22,190.496007
2017-02-23,193.401781
2017-02-24,213.964545
2017-02-25,153.732969
2017-02-26,129.049826
2017-02-27,199.489276
2017-02-28,202.482624
2017-03-01,212.92077
2017-03-02,193.461149
2017-03-03,210.104096
2017-03-04,146.448841
2017-03-05,131.413926
2017-03-06,213.701377
2017-03-07,225.522867
2017-03-08,191.468905
2017-03-09,197.782323
2017-03-10,192.336244
2017-03-11,143.875877
2017-03-12,132.616969
2017-03-13,191.569006
2017-03-14,190.706937
2017-03-15,198.695878
2017-03-16,178.30055
2017-03-17,149.671893
2017-03-18,109.949754
2017-03-19,103.499829
2017-03-20,159.221029
2017-03-21,191.478462
2017-03-22,207.079782
2017-03-23,200.177266
2017-03-24,190.312037
2017-03-25,129.116396
2017-03-26,122.413641
2017-03-27,198.364388
2017-03-28,201.37886
2017-03-29,179.705005
2017-03-30,164.130876
2017-03-31,151.416521
2017-04-01,138.368401
2017-04-02,124.26425
2017-04-03,184.822954
2017-04-04,202.313641
2017-04-05,204.055432
2017-04-06,202.521755
2017-04-07,200.874783
2017-04-08,153.313895
2017-04-09,111.349703
2017-04-10,175.471182
2017-04-11,171.010217
2017-04-12,161.918142
2017-04-13,183.46302
2017-04-14,152.790069
2017-04-15,119.675349
2017-04-16,120.397905
2017-04-17,129.008865
2017-04-18,192.70587
2017-04-19,210.327299
2017-04-20,213.455971
2017-04-21,190.951732
2017-04-22,148.834213
2017-04-23,125.13733
2017-04-24,172.072428
2017-04-25,173.105226
2017-04-26,215.532773
2017-04-27,211.024462
2017-04-28,208.871713
2017-04-29,142.560569
2017-04-30,96.899308
2017-05-01,129.139196
2017-05-02,199.677163
2017-05-03,198.126743
2017-05-04,179.012228
2017-05-05,164.956129
2017-05-06,126.390828
2017-05-07,110.232542
2017-05-08,160.895208
2017-05-09,191.530327
2017-05-10,185.002768
2017-05-11,176.679093
2017-05-12,172.348688
2017-05-13,123.499586
2017-05-14,105.537234
2017-05-15,157.748512
2017-05-16,161.833654
2017-05-17,167.245179
2017-05-18,176.794197
2017-05-19,163.748335
2017-05-20,106.376751
2017-05-21,87.03732
2017-05-22,152.635262
2017-05-23,167.556938
2017-05-24,169.804623
2017-05-25,134.974114
2017-05-26,121.20119
2017-05-27,94.81238
2017-05-28,93.17339
2017-05-29,169.659896
