Date,Total_Gas_to_Power_Demand
2016-10-03,187.65
2016-10-04,195.77
2016-10-05,193.2
2016-10-06,222.24
2016-10-07,225.06
2016-10-08,191.3
2016-10-09,183.06
2016-10-10,247.93
2016-10-11,246.85
2016-10-12,237.24
2016-10-13,231.99
2016-10-14,217.14
2016-10-15,171.47
2016-10-16,147.49
2016-10-17,228.45
2016-10-18,229.12
2016-10-19,240.52
2016-10-20,243.56
2016-10-21,237.32
2016-10-22,198.63
2016-10-23,179.84
2016-10-24,247.8
2016-10-25,254.44
2016-10-26,245.1
2016-10-27,218.97
2016-10-28,221.19
2016-10-29,186.0
2016-10-30,156.92
2016-10-31,213.97
2016-11-01,193.36
2016-11-02,227.59
2016-11-03,251.81
2016-11-04,229.9
2016-11-05,169.69
2016-11-06,154.03
2016-11-07,242.16
2016-11-08,256.14
2016-11-09,253.65
2016-11-10,249.38
2016-11-11,240.32
2016-11-12,211.34
2016-11-13,198.72
2016-11-14,246.8
2016-11-15,242.44
2016-11-16,237.47
2016-11-17,227.24
2016-11-18,228.55
2016-11-19,185.08
2016-11-20,165.79
2016-11-21,217.88
2016-11-22,234.93
2016-11-23,243.16
2016-11-24,235.07
2016-11-25,235.15
2016-11-26,203.38
2016-11-27,174.72
2016-11-28,242.01
2016-11-29,264.77
2016-11-30,249.53
2016-12-01,258.21
2016-12-02,266.73
2016-12-03,226.52
2016-12-04,206.43
2016-12-05,288.44
2016-12-06,282.29
2016-12-07,255.92
2016-12-08,232.98
2016-12-09,228.3
2016-12-10,200.56
2016-12-11,191.29
2016-12-12,277.91
2016-12-13,278.27
2016-12-14,284.32
2016-12-15,277.72
2016-12-16,273.82
2016-12-17,236.13
2016-12-18,227.2
2016-12-19,285.45
2016-12-20,269.6
2016-12-21,247.1
2016-12-22,244.6
2016-12-23,201.59
2016-12-24,137.35
2016-12-25,96.3
2016-12-26,129.91
2016-12-27,193.46
2016-12-28,208.22
2016-12-29,215.09
2016-12-30,203.14
2016-12-31,176.04
2017-01-01,155.99
2017-01-02,217.69
2017-01-03,233.03
2017-01-04,240.29
2017-01-05,260.04
2017-01-06,243.51
2017-01-07,220.27
2017-01-08,210.22
2017-01-09,244.61
2017-01-10,258.54
2017-01-11,228.38
2017-01-12,230.06
2017-01-13,208.71
2017-01-14,188.93
2017-01-15,192.83
2017-01-16,284.96
2017-01-17,293.74
2017-01-18,291.57
2017-01-19,288.44
2017-01-20,273.59
2017-01-21,246.87
2017-01-22,226.66
2017-01-23,283.99
2017-01-24,285.27
2017-01-25,273.77
2017-01-26,271.41
2017-01-27,257.16
2017-01-28,214.96
2017-01-29,195.64
2017-01-30,259.22
2017-01-31,268.59
2017-02-01,230.25
2017-02-02,197.31
2017-02-03,186.3
2017-02-04,143.94
2017-02-05,145.9
2017-02-06,217.51
2017-02-07,235.59
2017-02-08,244.12
2017-02-09,253.95
2017-02-10,252.23
2017-02-11,169.41
2017-02-12,145.09
2017-02-13,207.76
2017-02-14,238.01
2017-02-15,241.6
2017-02-16,228.25
2017-02-17,236.31
2017-02-18,177.88
2017-02-19,156.8
2017-02-20,199.03
2017-02-21,197.45
2017-02-22,190.5
2017-02-23,193.4
2017-02-24,213.96
2017-02-25,153.73
2017-02-26,129.05
2017-02-27,199.49
2017-02-28,202.48
2017-03-01,212.92
2017-03-02,193.46
2017-03-03,210.1
2017-03-04,146.45
2017-03-05,131.41
2017-03-06,213.7
2017-03-07,225.52
2017-03-08,191.47
2017-03-09,197.78
2017-03-10,192.34
2017-03-11,143.88
2017-03-12,132.62
2017-03-13,191.57
2017-03-14,190.71
2017-03-15,198.7
2017-03-16,178.3
2017-03-17,149.67
2017-03-18,109.95
2017-03-19,103.5
2017-03-20,159.22
2017-03-21,191.48
2017-03-22,207.08
2017-03-23,200.18
2017-03-24,190.31
2017-03-25,129.12
2017-03-26,122.41
2017-03-27,198.36
2017-03-28,201.38
2017-03-29,179.71
2017-03-30,164.13
2017-03-31,151.42
2017-04-01,138.37
2017-04-02,124.26
2017-04-03,184.82
2017-04-04,202.31
2017-04-05,204.06
2017-04-06,202.52
2017-04-07,200.87
2017-04-08,153.31
2017-04-09,111.35
2017-04-10,175.47
2017-04-11,171.01
2017-04-12,161.92
2017-04-13,183.46
2017-04-14,152.79
2017-04-15,119.68
2017-04-16,120.4
2017-04-17,129.01
2017-04-18,192.71
2017-04-19,210.33
2017-04-20,213.46
2017-04-21,190.95
2017-04-22,148.83
2017-04-23,125.14
2017-04-24,172.07
2017-04-25,173.11
2017-04-26,215.53
2017-04-27,211.02
2017-04-28,208.87
2017-04-29,142.56
2017-04-30,96.9
2017-05-01,129.14
2017-05-02,199.68
2017-05-03,198.13
2017-05-04,179.01
2017-05-05,164.96
2017-05-06,126.39
2017-05-07,110.23
2017-05-08,160.9
2017-05-09,191.53
2017-05-10,185.0
2017-05-11,176.68
2017-05-12,172.35
2017-05-13,123.5
2017-05-14,105.54
2017-05-15,157.75
2017-05-16,161.83
2017-05-17,167.25
2017-05-18,176.79
2017-05-19,163.75
2017-05-20,106.38
2017-05-21,87.04
2017-05-22,152.64
2017-05-23,167.56
2017-05-24,169.8
2017-05-25,134.97
2017-05-26,121.2
2017-05-27,94.81
2017-05-28,93.17
2017-05-29,169.66
2017-05-30,176.12
2017-05-31,173.97
2017-06-01,168.53
2017-06-02,160.03
2017-06-03,122.32
2017-06-04,96.26
2017-06-05,132.83
2017-06-06,122.48
2017-06-07,119.02
2017-06-08,137.78
2017-06-09,147.69
2017-06-10,93.41
2017-06-11,76.94
2017-06-12,148.67
2017-06-13,181.4
2017-06-14,182.81
2017-06-15,162.3
2017-06-16,161.48
2017-06-17,115.45
2017-06-18,107.42
2017-06-19,198.73
2017-06-20,213.21
2017-06-21,219.83
2017-06-22,215.09
2017-06-23,177.46
2017-06-24,122.78
2017-06-25,114.37
2017-06-26,198.4
2017-06-27,204.95
2017-06-28,182.9
2017-06-29,170.95
2017-06-30,165.43
2017-07-01,105.46
2017-07-02,90.64
2017-07-03,175.1
2017-07-04,196.52
2017-07-05,213.24
2017-07-06,215.86
2017-07-07,209.96
2017-07-08,151.91
2017-07-09,143.02
2017-07-10,217.92
2017-07-11,214.21
2017-07-12,205.01
2017-07-13,198.8
2017-07-14,189.05
2017-07-15,130.23
2017-07-16,101.69
2017-07-17,185.51
2017-07-18,195.93
2017-07-19,197.93
2017-07-20,203.77
2017-07-21,182.17
2017-07-22,138.32
2017-07-23,126.92
2017-07-24,193.62
2017-07-25,180.11
2017-07-26,168.7
2017-07-27,171.97
2017-07-28,146.13
2017-07-29,120.04
2017-07-30,99.59
2017-07-31,167.24
2017-08-01,189.81
2017-08-02,186.85
2017-08-03,152.22
2017-08-04,149.66
2017-08-05,129.44
2017-08-06,110.18
2017-08-07,167.32
2017-08-08,170.97
2017-08-09,158.89
2017-08-10,168.74
2017-08-11,136.54
2017-08-12,94.62
2017-08-13,93.13
2017-08-14,120.5
2017-08-15,117.36
2017-08-16,143.05
2017-08-17,136.63
2017-08-18,130.89
2017-08-19,90.31
2017-08-20,104.07
2017-08-21,149.99
2017-08-22,156.83
2017-08-23,162.93
2017-08-24,167.27
2017-08-25,171.81
2017-08-26,137.35
2017-08-27,117.69
2017-08-28,172.09
2017-08-29,188.34
2017-08-30,191.94
2017-08-31,193.85
2017-09-01,185.29
2017-09-02,106.7
2017-09-03,93.51
2017-09-04,176.48
2017-09-05,179.3
2017-09-06,162.96
2017-09-07,169.86
2017-09-08,153.52
2017-09-09,110.2
2017-09-10,82.58
2017-09-11,115.67
2017-09-12,139.15
2017-09-13,139.08
2017-09-14,144.03
2017-09-15,166.74
2017-09-16,125.66
2017-09-17,112.88
2017-09-18,196.85
2017-09-19,194.35
2017-09-20,183.44
2017-09-21,188.95
2017-09-22,185.31
2017-09-23,131.49
2017-09-24,122.7
2017-09-25,205.58
2017-09-26,212.96
2017-09-27,195.88
2017-09-28,201.28
2017-09-29,185.67
2017-09-30,153.38
2017-10-01,106.52
2017-10-02,160.35
2017-10-03,171.37
2017-10-04,182.13
2017-10-05,169.69
2017-10-06,179.91
2017-10-07,136.03
2017-10-08,149.48
2017-10-09,218.61
2017-10-10,195.41
2017-10-11,186.82
2017-10-12,198.11
2017-10-13,194.82
2017-10-14,144.14
2017-10-15,130.54
2017-10-16,199.05
2017-10-17,220.99
2017-10-18,247.1
2017-10-19,235.73
2017-10-20,213.83
2017-10-21,141.72
2017-10-22,126.98
2017-10-23,214.77
2017-10-24,206.3
2017-10-25,205.24
2017-10-26,239.05
2017-10-27,207.18
2017-10-28,141.0
2017-10-29,146.8
2017-10-30,226.2
2017-10-31,220.54
2017-11-01,193.9
2017-11-02,241.56
2017-11-03,247.4
2017-11-04,173.49
2017-11-05,157.65
2017-11-06,241.67
2017-11-07,261.63
2017-11-08,261.59
2017-11-09,255.33
2017-11-10,222.09
2017-11-11,195.76
2017-11-12,154.96
2017-11-13,234.49
2017-11-14,256.8
2017-11-15,264.24
2017-11-16,250.9
2017-11-17,230.81
2017-11-18,193.39
2017-11-19,194.2
2017-11-20,242.97
2017-11-21,243.36
2017-11-22,224.46
2017-11-23,220.92
2017-11-24,244.23
2017-11-25,182.43
2017-11-26,154.27
2017-11-27,205.68
2017-11-28,240.09
2017-11-29,263.61
2017-11-30,264.29
2017-12-01,273.36
2017-12-02,224.15
2017-12-03,219.68
2017-12-04,252.21
2017-12-05,246.33
2017-12-06,233.02
2017-12-07,221.54
2017-12-08,196.61
2017-12-09,201.06
2017-12-10,187.51
2017-12-11,240.91
2017-12-12,237.59
2017-12-13,195.83
2017-12-14,218.97
2017-12-15,242.09
2017-12-16,210.47
2017-12-17,171.49
2017-12-18,258.64
2017-12-19,266.42
2017-12-20,266.84
2017-12-21,238.55
2017-12-22,203.16
2017-12-23,141.53
2017-12-24,118.49
2017-12-25,106.71
2017-12-26,119.98
2017-12-27,146.29
2017-12-28,172.71
2017-12-29,153.03
2017-12-30,119.47
2017-12-31,99.58
2018-01-01,111.78
2018-01-02,160.9
2018-01-03,162.44
2018-01-04,181.58
2018-01-05,192.85
2018-01-06,150.2
2018-01-07,141.93
2018-01-08,218.49
2018-01-09,236.06
2018-01-10,249.91
2018-01-11,273.74
2018-01-12,251.25
2018-01-13,174.9
2018-01-14,156.81
2018-01-15,201.1
2018-01-16,180.47
2018-01-17,189.14
2018-01-18,206.8
2018-01-19,223.55
2018-01-20,184.89
2018-01-21,135.23
2018-01-22,220.12
2018-01-23,201.53
2018-01-24,184.13
2018-01-25,235.91
2018-01-26,266.66
2018-01-27,153.68
2018-01-28,128.97
2018-01-29,204.54
2018-01-30,234.84
2018-01-31,197.24
2018-02-01,210.21
2018-02-02,235.39
2018-02-03,207.29
2018-02-04,177.96
2018-02-05,280.31
2018-02-06,297.9
2018-02-07,299.28
2018-02-08,287.92
2018-02-09,250.59
2018-02-10,173.51
2018-02-11,138.62
2018-02-12,224.92
2018-02-13,239.48
2018-02-14,223.56
2018-02-15,210.63
2018-02-16,237.02
2018-02-17,208.28
2018-02-18,180.5
2018-02-19,279.56
2018-02-20,274.85
2018-02-21,275.24
2018-02-22,238.99
2018-02-23,197.05
2018-02-24,135.19
2018-02-25,124.36
2018-02-26,208.24
2018-02-27,231.52
2018-02-28,207.79
2018-03-01,182.89
2018-03-02,159.7
2018-03-03,123.85
2018-03-04,130.59
2018-03-05,209.43
2018-03-06,242.81
2018-03-07,237.68
2018-03-08,213.62
2018-03-09,219.04
2018-03-10,145.2
2018-03-11,143.13
2018-03-12,181.72
2018-03-13,176.45
2018-03-14,154.41
2018-03-15,168.61
2018-03-16,166.97
2018-03-17,124.01
2018-03-18,104.66
2018-03-19,210.66
2018-03-20,231.64
2018-03-21,225.14
2018-03-22,212.18
2018-03-23,215.14
2018-03-24,174.05
2018-03-25,150.1
2018-03-26,234.88
2018-03-27,232.27
2018-03-28,231.85
2018-03-29,201.71
2018-03-30,163.49
2018-03-31,149.82
2018-04-01,138.47
2018-04-02,124.3
2018-04-03,168.58
2018-04-04,176.62
2018-04-05,179.42
2018-04-06,130.03
2018-04-07,123.83
2018-04-08,135.99
2018-04-09,192.26
2018-04-10,174.47
2018-04-11,188.73
2018-04-12,206.07
2018-04-13,191.84
2018-04-14,124.11
2018-04-15,115.29
2018-04-16,158.66
2018-04-17,138.73
2018-04-18,132.4
2018-04-19,151.53
2018-04-20,139.1
2018-04-21,106.86
2018-04-22,91.83
2018-04-23,117.03
2018-04-24,145.06
2018-04-25,104.74
2018-04-26,122.32
2018-04-27,150.88
2018-04-28,120.35
2018-04-29,108.21
2018-04-30,125.24
2018-05-01,109.87
2018-05-02,132.26
2018-05-03,154.13
2018-05-04,152.3
2018-05-05,105.89
2018-05-06,95.12
2018-05-07,130.05
2018-05-08,146.87
2018-05-09,146.26
2018-05-10,127.38
2018-05-11,119.02
2018-05-12,109.68
2018-05-13,103.41
2018-05-14,127.82
2018-05-15,135.53
2018-05-16,141.52
2018-05-17,145.28
2018-05-18,158.17
2018-05-19,108.75
2018-05-20,96.12
2018-05-21,134.44
2018-05-22,154.75
2018-05-23,151.65
2018-05-24,154.92
2018-05-25,145.56
2018-05-26,84.94
2018-05-27,89.75
2018-05-28,146.73
2018-05-29,156.49
2018-05-30,184.45
2018-05-31,174.3
2018-06-01,166.75
2018-06-02,122.64
2018-06-03,117.32
2018-06-04,156.91
2018-06-05,162.28
2018-06-06,173.96
2018-06-07,182.77
2018-06-08,179.42
2018-06-09,120.5
2018-06-10,113.47
2018-06-11,175.93
2018-06-12,178.82
2018-06-13,157.44
2018-06-14,141.7
2018-06-15,153.43
2018-06-16,103.04
2018-06-17,94.36
2018-06-18,132.19
2018-06-19,172.12
2018-06-20,168.98
2018-06-21,152.67
2018-06-22,149.75
2018-06-23,109.31
2018-06-24,112.89
2018-06-25,180.69
2018-06-26,185.29
2018-06-27,181.15
2018-06-28,184.15
2018-06-29,165.79
2018-06-30,113.91
2018-07-01,104.51
2018-07-02,184.69
2018-07-03,210.77
2018-07-04,222.12
2018-07-05,213.61
2018-07-06,176.7
2018-07-07,131.04
2018-07-08,118.93
2018-07-09,194.35
2018-07-10,201.25
2018-07-11,208.92
2018-07-12,212.44
2018-07-13,212.59
2018-07-14,150.08
2018-07-15,129.16
2018-07-16,208.8
2018-07-17,209.4
2018-07-18,215.06
2018-07-19,213.04
2018-07-20,207.01
2018-07-21,151.17
2018-07-22,125.75
2018-07-23,199.71
2018-07-24,220.06
2018-07-25,221.16
2018-07-26,216.36
2018-07-27,202.56
2018-07-28,113.63
2018-07-29,105.24
2018-07-30,188.0
2018-07-31,208.68
2018-08-01,205.89
2018-08-02,215.38
2018-08-03,217.32
2018-08-04,161.44
2018-08-05,150.88
2018-08-06,221.52
2018-08-07,222.75
2018-08-08,200.89
2018-08-09,186.45
2018-08-10,148.72
2018-08-11,121.48
2018-08-12,127.47
2018-08-13,184.31
2018-08-14,164.0
2018-08-15,141.33
2018-08-16,158.27
2018-08-17,166.45
2018-08-18,131.89
2018-08-19,118.71
2018-08-20,197.1
2018-08-21,220.75
2018-08-22,198.38
2018-08-23,180.4
2018-08-24,149.69
2018-08-25,126.18
2018-08-26,89.49
2018-08-27,151.27
2018-08-28,191.07
2018-08-29,196.03
2018-08-30,212.53
2018-08-31,199.54
2018-09-01,137.53
2018-09-02,113.4
2018-09-03,214.56
2018-09-04,217.62
2018-09-05,217.84
2018-09-06,220.02
2018-09-07,176.78
2018-09-08,130.81
2018-09-09,108.64
2018-09-10,179.82
2018-09-11,164.06
2018-09-12,196.38
2018-09-13,209.76
2018-09-14,190.6
2018-09-15,135.48
2018-09-16,116.93
2018-09-17,196.08
2018-09-18,172.59
2018-09-19,169.82
2018-09-20,188.29
2018-09-21,146.9
2018-09-22,145.48
2018-09-23,112.36
2018-09-24,168.38
2018-09-25,157.21
2018-09-26,151.64
2018-09-27,167.85
2018-09-28,177.64
2018-09-29,134.37
2018-09-30,117.32
2018-10-01,177.45
2018-10-02,171.81
2018-10-03,184.85
2018-10-04,206.04
2018-10-05,202.02
2018-10-06,141.49
2018-10-07,124.01
2018-10-08,200.09
2018-10-09,218.15
2018-10-10,202.61
2018-10-11,196.97
2018-10-12,181.19
2018-10-13,132.32
2018-10-14,135.76
2018-10-15,229.81
2018-10-16,236.01
2018-10-17,246.99
2018-10-18,238.36
2018-10-19,236.89
2018-10-20,173.73
2018-10-21,133.55
2018-10-22,192.85
2018-10-23,174.0
2018-10-24,207.26
2018-10-25,217.04
2018-10-26,205.12
2018-10-27,156.48
2018-10-28,145.24
2018-10-29,224.09
2018-10-30,232.04
2018-10-31,224.81
2018-11-01,198.1
2018-11-02,215.03
2018-11-03,172.47
2018-11-04,169.47
2018-11-05,243.14
2018-11-06,218.2
2018-11-07,220.54
2018-11-08,228.86
2018-11-09,200.77
2018-11-10,148.31
2018-11-11,130.69
2018-11-12,211.93
2018-11-13,213.78
2018-11-14,216.63
2018-11-15,243.39
2018-11-16,226.41
2018-11-17,144.02
2018-11-18,140.81
2018-11-19,227.81
2018-11-20,250.89
2018-11-21,278.2
2018-11-22,297.07
2018-11-23,296.06
2018-11-24,231.13
2018-11-25,193.63
2018-11-26,284.7
2018-11-27,261.47
2018-11-28,203.91
2018-11-29,198.7
2018-11-30,219.48
2018-12-01,188.06
2018-12-02,143.23
2018-12-03,220.6
2018-12-04,253.69
2018-12-05,247.67
2018-12-06,216.99
2018-12-07,176.93
2018-12-08,113.12
2018-12-09,123.08
2018-12-10,246.48
2018-12-11,271.23
2018-12-12,278.41
2018-12-13,271.84
2018-12-14,278.66
2018-12-15,192.81
2018-12-16,194.21
2018-12-17,246.94
2018-12-18,235.97
2018-12-19,240.06
2018-12-20,229.02
2018-12-21,181.08
2018-12-22,143.77
2018-12-23,158.72
2018-12-24,163.51
2018-12-25,132.33
2018-12-26,157.63
2018-12-27,220.54
2018-12-28,209.29
2018-12-29,162.2
2018-12-30,163.68
2018-12-31,155.18
2019-01-01,142.33
2019-01-02,234.01
2019-01-03,265.34
2019-01-04,266.5
2019-01-05,226.4
2019-01-06,221.44
2019-01-07,239.65
2019-01-08,236.25
2019-01-09,269.58
2019-01-10,305.86
2019-01-11,279.57
2019-01-12,170.26
2019-01-13,131.92
2019-01-14,244.61
2019-01-15,249.16
2019-01-16,259.41
2019-01-17,271.39
2019-01-18,290.87
2019-01-19,264.66
2019-01-20,255.47
2019-01-21,311.64
2019-01-22,317.66
2019-01-23,338.17
2019-01-24,340.93
2019-01-25,276.5
2019-01-26,183.34
2019-01-27,145.09
2019-01-28,263.52
2019-01-29,296.36
2019-01-30,302.41
2019-01-31,284.2
2019-02-01,267.68
2019-02-02,218.78
2019-02-03,192.21
2019-02-04,269.82
2019-02-05,268.41
2019-02-06,259.72
2019-02-07,222.13
2019-02-08,192.88
2019-02-09,142.02
2019-02-10,144.39
2019-02-11,247.36
2019-02-12,233.43
2019-02-13,231.68
2019-02-14,247.75
2019-02-15,223.12
2019-02-16,158.39
2019-02-17,123.27
2019-02-18,217.33
2019-02-19,227.69
2019-02-20,232.21
2019-02-21,234.73
2019-02-22,216.61
2019-02-23,146.77
2019-02-24,155.14
2019-02-25,245.23
2019-02-26,245.43
2019-02-27,238.59
2019-02-28,209.55
2019-03-01,232.4
2019-03-02,143.76
2019-03-03,133.53
2019-03-04,168.84
2019-03-05,200.08
2019-03-06,180.49
2019-03-07,170.09
2019-03-08,188.66
2019-03-09,127.87
2019-03-10,120.48
