Date,Total_Industrial_Demand
2016-10-03,240.699536
2016-10-04,268.258408
2016-10-05,275.515965
2016-10-06,281.990503
2016-10-07,277.612643
2016-10-08,249.882081
2016-10-09,250.545048
2016-10-10,293.910565
2016-10-11,300.131135
2016-10-12,302.692223
2016-10-13,296.370767
2016-10-14,286.794264
2016-10-15,254.275869
2016-10-16,249.557222
2016-10-17,291.578407
2016-10-18,296.964149
2016-10-19,306.133441
2016-10-20,312.578713
2016-10-21,301.974598
2016-10-22,264.398633
2016-10-23,257.702222
2016-10-24,300.156634
2016-10-25,309.50981
2016-10-26,305.403065
2016-10-27,295.588652
2016-10-28,289.489914
2016-10-29,266.438312
2016-10-30,266.435122
2016-10-31,288.787803
2016-11-01,284.878447
2016-11-02,316.278195
2016-11-03,325.564161
2016-11-04,316.733991
2016-11-05,276.990584
2016-11-06,280.274695
2016-11-07,339.303805
2016-11-08,349.746551
2016-11-09,346.12719
2016-11-10,343.714954
2016-11-11,331.337894
2016-11-12,302.920197
2016-11-13,310.173914
2016-11-14,348.575176
2016-11-15,338.784146
2016-11-16,320.289168
2016-11-17,310.525769
2016-11-18,308.659143
2016-11-19,279.888933
2016-11-20,265.941594
2016-11-21,304.721408
2016-11-22,314.480303
2016-11-23,315.079292
2016-11-24,320.281651
2016-11-25,324.046669
2016-11-26,295.677681
2016-11-27,294.745043
2016-11-28,357.493954
2016-11-29,363.539765
2016-11-30,354.064679
2016-12-01,339.153238
2016-12-02,342.298903
2016-12-03,320.480375
2016-12-04,321.102115
2016-12-05,366.652482
2016-12-06,365.431544
2016-12-07,348.475605
2016-12-08,331.360067
2016-12-09,322.182348
2016-12-10,285.423557
2016-12-11,281.741213
2016-12-12,337.413922
2016-12-13,345.342965
2016-12-14,336.349442
2016-12-15,339.493639
2016-12-16,344.401161
2016-12-17,306.48946
2016-12-18,307.254264
2016-12-19,341.02456
2016-12-20,346.78167
2016-12-21,336.733901
2016-12-22,322.401455
2016-12-23,286.529806
2016-12-24,228.521245
2016-12-25,213.717691
2016-12-26,229.733699
2016-12-27,275.036677
2016-12-28,288.102695
2016-12-29,292.740735
2016-12-30,292.667974
2016-12-31,269.254914
2017-01-01,268.615654
2017-01-02,321.059922
2017-01-03,326.340111
2017-01-04,334.135292
2017-01-05,361.337119
2017-01-06,355.821563
2017-01-07,330.303024
2017-01-08,320.538993
2017-01-09,354.991704
2017-01-10,353.188067
2017-01-11,337.120554
2017-01-12,340.040911
2017-01-13,337.696639
2017-01-14,306.939355
2017-01-15,322.946473
2017-01-16,378.711671
